Ticker,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
AAL,52.99,46.7,40.91,53.91,25.36,0.86,0.24,7.92,7.72,11.13,13.3,33.8,22.34,11.04,13
AAPL,172.26,116.02,105.35,109.33,79.02,78.43,59.06,47.08,30.57,12.96,27.83,12.24,10.71,4.52,1.52
ABC,94.04,84.66,101.87,90.46,69.89,43.49,38.2,34.32,26.63,17.79,22.28,22.46,20.37,14.11,13.1
ABMD,192.49,115.74,85.24,37.31,26.85,13.69,18.11,9.8,8.74,16.33,15.25,14.35,9.62,15.01,7
ACN,153.84,116.74,101.83,88.84,81.13,69.06,52.93,48.59,42.07,33.67,36.06,37.2,29.46,26.37,25.92
ADBE,177.7,104.14,91.97,72.34,59.29,38.34,28.28,31.29,37.09,23.02,41.71,40.82,38.42,30.85,19.55
ADI,90.28,72.36,54.44,55.54,49.28,44,35.98,37.95,31.67,19.67,30.37,33.41,37.04,36.39,45.79
ADP,115.99,103.66,82.07,83.29,79.86,58.39,54.4,47.05,42.83,40.41,43.22,43.92,41.75,39.39,35.89
AGN,170.32,215.56,307.47,259.13,168.05,84.21,60.31,51.49,40.29,26.3,26.88,26.83,32.91,31.9,45.34
AIG,59.5,65.97,60.43,56.11,50.71,36.48,23.92,48.63,25.04,28.31,943.26,1198.09,1168.1,1106.28,1119.01
AJG,62.17,52.9,40.2,46.98,46.15,35.5,32.76,29.45,22.33,25.78,23.72,29.5,31.76,32.68,31.95
ALGN,224.62,97.77,64.27,56.2,56.96,28.4,24.41,19.87,18.5,8.89,16.47,13.6,6.08,10.56,16.69
ALXN,124.05,127.11,184.68,186.6,133.44,100.05,70.29,40.67,24.13,18.07,18.88,10.18,5.11,6.09,4.31
AMAT,53.04,32.24,18.47,24.96,17.55,11.84,10.76,14.06,14.3,10.67,17.41,18.8,18.49,16.82,22.1
AMD,10.98,11.43,2.77,2.69,3.95,2.53,5.46,8.47,9.7,2.38,7.14,19.79,32.56,21.41,14.86
