Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
"2,291,029"
"1,966,492"
"1,473,413"
"1,079,874"
"845,486"
"761,653"
"660,206"
"560,041"
"479,741"
"387,126"
"312,333"
"303,976"
"284,332"
"206,354"
"207,125"
"172,830"
"122,725"
"75,395"
"46,384"
"6,741"
411
"635,994"
"518,625"
"356,466"
"264,580"
"205,376"
"183,210"
"162,100"
"143,653"
"118,458"
"83,709"
"78,841"
"78,850"
"75,035"
"64,775"
"63,784"
"57,526"
"51,565"
"45,990"
"46,831"
"20,251"
"1,754"
"1,655,035"
"1,447,867"
"1,116,947"
"815,294"
"640,110"
"578,443"
"498,106"
"416,388"
"361,283"
"303,417"
"233,492"
"225,126"
"209,297"
"141,579"
"143,341"
"115,304"
"71,160"
"29,405"
-447
"-13,510"
"-1,343"





















"151,838"
"128,899"
"97,559"
"75,720"
"61,237"
"52,799"
"44,083"
"42,869"
"37,154"
"25,997"
"22,252"
"26,165"
"25,727"
"18,474"
"18,585"
"15,756"
"13,112"
"13,064"
"14,683"
"9,169"
"4,200"
"1,019,391"
"852,404"
"665,777"
"490,653"
"390,239"
"332,068"
"292,798"
"247,881"
"231,326"
"192,018"
"243,933"
"177,216"
"151,511"
"160,641"
"122,310"
"89,783"
"77,985"
"84,578"
"83,315"
"58,436"
"9,162"
"1,171,229"
"981,303"
"763,336"
"566,373"
"451,476"
"384,867"
"336,881"
"294,205"
"270,923"
"200,683"
"266,185"
"203,381"
"175,442"
"179,115"
"140,895"
"105,539"
"91,097"
"97,642"
"98,398"
"67,605"
"13,362"
"483,806"
"466,564"
"353,611"
"248,921"
"188,634"
"193,576"
"161,225"
"122,183"
"90,360"
"102,734"
"-32,693"
"21,745"
"33,855"
"-37,536"
"2,446"
"9,765"
"-19,937"
"-68,237"
"-98,845"
"-81,115"
"-14,705"
-
-
-
-
-
-
-
-
51
19
85
24
342
296
110
271
364
162
"1,999"
"9,807"
986
"33,215"
"-8,489"
-
"-6,355"
"-2,533"
"-3,207"
"-68,086"
"-38,644"
-920
"-1,267"
"-1,694"
"-7,697"
"1,038"
518
"-1,525"
-445
-268
-701
"-1,281"
-132
-86
"528,846"
"466,651"
"364,799"
"242,566"
"186,101"
"190,369"
"93,139"
"84,296"
"89,941"
"102,003"
"-33,893"
"17,076"
"36,950"
"-34,135"
"2,729"
"9,762"
"-20,038"
"-68,121"
"-97,474"
-
-
"100,329"
"57,723"
"130,162"
"51,200"
"42,081"
"44,537"
"28,844"
"25,605"
"23,225"
"27,750"
"-2,624"
"-62,911"
"1,226"
828
"1,316"
994
84
-
10
-
-
"418,906"
"400,235"
"231,418"
"189,682"
"144,020"
"145,832"
"64,295"
"58,691"
"66,716"
"74,253"
"-31,269"
"79,987"
"35,724"
"-34,963"
"1,413"
"8,768"
"-20,122"
"-68,121"
"-97,474"
"-88,748"
"-15,415"
"418,906"
"400,235"
"231,418"
"189,682"
"144,020"
"145,832"
"64,295"
"58,691"
"66,716"
"74,253"
"-31,269"
"79,987"
"35,724"
"-34,963"
"1,413"
"8,768"
"-20,122"
"-68,121"
"-97,474"
"-88,748"
"-15,415"
"418,906"
"400,235"
"231,418"
"189,682"
"144,020"
"145,832"
"64,295"
"58,691"
"66,716"
"74,253"
"-31,269"
"79,987"
"35,724"
"-34,963"
"1,413"
"8,768"
"-20,122"
"-68,121"
"-108,665"
"-142,264"
"-15,415"





















-
5.00
2.89
2.38
1.80
1.81
0.80
0.73
0.86
0.98
-0.45
1.20
0.53
-0.55
0.02
0.15
-0.35
-1.42
-2.57
-25.64
-3.65
-
4.92
2.83
2.33
1.77
1.77
0.78
0.71
0.83
0.95
-0.45
1.18
0.50
-0.55
0.02
0.14
-0.35
-1.42
-2.57
-25.64
-3.65





















-
"80,064"
"80,085"
"79,856"
"79,998"
"80,754"
"80,551"
"80,529"
"77,988"
"75,825"
"69,094"
"66,812"
"67,176"
"63,246"
"61,644"
"59,963"
"57,758"
"47,878"
"42,247"
"5,548"
"4,218"
-
"81,357"
"81,832"
"81,484"
"81,521"
"82,283"
"82,589"
"83,040"
"80,294"
"78,080"
"69,094"
"68,064"
"71,444"
"63,246"
"63,152"
"64,089"
"57,758"
"47,878"
"42,247"
"5,548"
"4,218"
-
"521,291"
"391,350"
"272,923"
"206,638"
"211,432"
"178,050"
"139,994"
"107,469"
"116,208"
"-20,804"
"29,891"
"47,240"
"-27,265"
"12,897"
"24,451"
"1,978"
"-39,156"
"-68,820"
"-78,602"
"-14,146"
