Column 1
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999




























































"636,899"
"449,511"
"389,275"
"167,714"
"199,871"
"242,953"
"306,386"
"240,675"
"294,664"
"166,487"
"87,100"
"89,119"
"55,113"
"74,219"
"69,659"
"44,939"
"35,552"
"50,550"
"2,828"
"6,832"
"98,460"
"272,031"
"250,981"
"359,581"
"254,787"
"127,040"
"28,485"
"7,395"
"8,615"
"19,978"
"23,066"
"38,771"
"8,931"
-
-
"2,292"
"2,693"
"12,494"
"9,633"
"5,253"
"735,359"
"721,542"
"640,256"
"527,295"
"454,658"
"369,993"
"334,871"
"248,070"
"303,279"
"186,465"
"110,166"
"127,890"
"64,044"
"74,219"
"69,659"
"47,231"
"38,245"
"63,044"
"12,461"
"12,085"
"439,009"
"322,825"
"247,415"
"158,550"
"129,751"
"113,250"
"98,992"
"91,537"
"65,430"
"54,537"
"52,362"
"44,850"
"33,635"
"29,305"
"28,809"
"21,265"
"16,766"
"11,556"
"4,465"
314
"55,641"
"31,688"
"27,131"
"19,465"
"15,928"
"13,968"
"15,122"
"9,402"
"2,544"
"2,046"
"1,965"
"2,910"
"3,090"
"2,930"
"2,852"
"1,395"
"1,533"
"1,549"
"2,024"
366
-
0
0
0
0
0
"35,233"
"31,781"
"17,358"
"18,251"
"13,414"
0
0
0
992
"2,687"
"3,675"
"4,711"
"22,412"
"1,009"
"1,302,479"
"1,157,003"
"952,978"
"732,010"
"657,160"
"544,676"
"485,793"
"384,816"
"388,611"
"261,299"
"177,907"
"184,517"
"108,089"
"111,586"
"106,834"
"77,114"
"65,832"
"81,583"
"41,362"
"13,774"








































"693,056"
"484,601"
"310,881"
"254,510"
"197,927"
"181,249"
"165,126"
"129,432"
"98,458"
"94,977"
"88,342"
"79,079"
"73,883"
"65,676"
"54,738"
"49,058"
"44,467"
"42,638"
"21,100"
"3,317"
"-171,727"
"-135,808"
"-135,714"
"-118,037"
"-107,802"
"-105,506"
"-85,935"
"-75,467"
"-67,774"
"-70,006"
"-61,363"
"-53,759"
"-46,979"
"-39,249"
"-33,036"
"-25,937"
"-19,389"
"-10,617"
-
-
"521,329"
"348,793"
"175,167"
"136,473"
"90,125"
"75,743"
"79,191"
"53,965"
"30,684"
"24,971"
"26,979"
"25,320"
"26,904"
"26,427"
"21,702"
"23,121"
"25,078"
"32,021"
"21,100"
"3,317"
"64,887"
"94,554"
"104,844"
"151,370"
"147,892"
"101,978"
"21,252"
0
"9,089"
-
-
-
-
-
-
-
-
-
"6,251"
0
"64,029"
"64,614"
"61,044"
"61,074"
"61,369"
"61,623"
"99,236"
"135,383"
478
478
478
478
478
-
-
-
-
-
-
-
"17,920"
"24,454"
"20,954"
"18,088"
"20,687"
"23,739"
"45,777"
"50,022"
"2,188"
"4,988"
"7,788"
"10,615"
"13,824"
"1,197"
-
-
-
-
-
-
"11,963"
"38,379"
"13,320"
"8,202"
"7,665"
"8,622"
"3,454"
"2,741"
"3,454"
"1,969"
"4,493"
"1,831"
"2,263"
"2,900"
"2,176"
"1,967"
"1,946"
"4,614"
"1,848"
0
"749,979"
"620,853"
"443,173"
"426,623"
"330,837"
"287,471"
"270,519"
"264,448"
"88,332"
"93,941"
"101,434"
"38,244"
"43,469"
"30,524"
"23,878"
"25,088"
"27,024"
"36,635"
"29,199"
"3,317"
"2,052,458"
"1,777,856"
"1,396,151"
"1,158,633"
"987,997"
"832,147"
"756,312"
"649,264"
"476,943"
"355,240"
"279,341"
"222,761"
"151,558"
"142,110"
"130,712"
"102,202"
"92,856"
"118,218"
"70,561"
"17,091"




























































-
-
-
-
-
-
-
-
-
-
-
-
"11,500"
-
"1,849"
"1,989"
"2,183"
483
-
-
"64,256"
"36,776"
"28,596"
"48,188"
"28,983"
"20,482"
"22,415"
"22,313"
"7,768"
"6,122"
"5,580"
"9,222"
"5,034"
"2,489"
"3,361"
"3,095"
"1,974"
"4,376"
"5,541"
"1,572"
"5,752"
"12,405"
"4,210"
"2,646"
"2,027"
"1,205"
572
426
"1,936"
-
-
-
-
-
-
-
-
-
-
-
"195,127"
"170,361"
"121,249"
"83,846"
"71,513"
"67,057"
"61,506"
"20,221"
"46,482"
"42,822"
"38,282"
"39,875"
"40,307"
"29,372"
"23,481"
"19,180"
"12,112"
"11,426"
"14,753"
"2,050"
"405,577"
"266,842"
"191,407"
"129,553"
"90,684"
"77,275"
"61,975"
"52,252"
"33,848"
"32,299"
"16,710"
"12,362"
"10,942"
"16,747"
"16,257"
"13,113"
"2,130"
"1,551"
-
-
-
0
0
0
0
0
0
"4,026"
"-4,876"
0
0
0
0
0
0
0
0
0
"2,350"
119
"692,073"
"497,816"
"354,335"
"271,672"
"201,811"
"175,338"
"155,771"
