Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999





















"418,906"
"400,235"
"231,418"
"189,682"
"144,020"
"145,832"
"64,295"
"58,691"
"66,716"
"74,253"
"-31,269"
"79,987"
"35,724"
"-34,963"
"1,413"
"8,768"
"-20,122"
"-68,121"
"-97,474"
"-88,748"
"-15,415"
-
"54,727"
"37,739"
"24,002"
"18,004"
"17,856"
"16,825"
"17,811"
"17,477"
"14,186"
"13,004"
"12,791"
"13,385"
"10,271"
"10,451"
"14,686"
"21,915"
"29,081"
"30,025"
"2,513"
559
-
"-15,680"
"17,572"
"-16,401"
"-11,424"
"25,481"
"21,204"
"17,783"
"5,842"
"17,307"
"-2,612"
"-64,608"
-
-
-
-
-
-
-
-
-
-
"70,763"
"58,854"
"54,148"
"52,943"
"39,823"
"26,438"
"21,483"
"19,165"
"16,072"
"15,088"
"17,735"
-
-
-
-
-
-
-
-
-
-
"18,691"
"75,890"
"-16,607"
"20,827"
"9,194"
"13,162"
"-3,383"
"32,542"
"10,593"
"15,884"
"-8,311"
"-8,164"
"2,000"
"3,373"
-68
"8,162"
"-7,838"
"-12,843"
"3,606"
"1,812"
-
"-109,224"
"-90,990"
"-94,444"
"-40,775"
"-27,229"
"-11,981"
"-9,138"
"-21,693"
"-12,184"
"-2,586"
"-7,951"
-
-
-
-
-
-
-
-
-
-
"-24,109"
"-5,481"
"-7,663"
"-3,563"
"-1,999"
"1,158"
"-5,718"
"-4,058"
-508
-85
943
186
-160
-213
-308
354
102
-80
"-1,658"
-366
-
"25,045"
"8,175"
"-3,395"
"7,575"
"2,887"
-186
-6
"7,535"
"2,612"
-614
"-2,651"
-
-
-
-
-
-
-
-
-
"716,109"
"331,369"
"242,844"
"177,078"
"184,546"
"202,807"
"166,564"
"95,445"
"100,065"
"111,498"
"66,973"
"25,412"
"45,348"
"-38,058"
"2,287"
"15,501"
"4,537"
"-48,511"
"-97,030"
"-72,371"
"-14,096"
-
"17,252"
"13,847"
"12,031"
"13,799"
"10,106"
"4,142"
"1,989"
"7,774"
195
708
71
"11,808"
"8,622"
-
-4
-
29
-
"23,829"
"1,411"
"770,388"
"554,681"
"438,539"
"247,654"
"237,997"
"226,899"
"185,976"
"133,778"
"130,469"
"129,529"
"74,165"
"39,746"
"52,777"
"-14,030"
"16,088"
"24,562"
"12,122"
"-40,399"
"-77,855"
"-58,800"
"-11,633"





















-
"-223,312"
"-195,695"
"-70,576"
"-53,451"
"-24,092"
"-19,412"
"-38,333"
"-30,404"
"-18,031"
"-7,192"
"-14,334"
"-7,429"
"-24,028"
"-13,801"
"-9,061"
"-7,585"
"-8,112"
"-19,175"
"-13,571"
"-2,463"
-
"-5,000"
"-21,717"
"-46,745"
-
0
"-7,652"
0
"-187,588"
-
-
-
-
-
-
-
-
-
-
-
-
-
"-180,191"
"-390,244"
"-405,612"
"-447,092"
"-437,152"
"-303,917"
"-67,511"
0
"-18,334"
"-42,923"
"-75,050"
"-64,686"
"-18,416"
"-2,226"
-519
"-7,684"
"-1,972"
"-72,219"
"-35,291"
"-6,246"
-
"384,665"
"388,776"
"603,992"
"334,136"
"259,800"
"122,658"
"25,198"
"10,317"
"20,590"
"48,893"
"87,926"
"34,797"
"9,481"
"2,226"
"2,811"
"8,069"
"14,093"
"74,310"
"9,077"
"5,105"
-
"30,765"
"-29,433"
"-8,211"
46
-183
