Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
7/30/2005
7/30/2004
7/30/2003
7/30/2002
7/30/2001
7/30/2000
7/30/1999
7/30/1998
7/30/1997
7/30/1996
"4,735,600"
"4,131,200"
"3,551,100"
"3,084,000"
"2,604,047"
"2,233,733"
"1,551,346"
"1,134,114"
"783,431"
"540,957"
"386,800"
"259,099"
"72,041"
"1,558"
"1,064"
"4,609"
877
"6,536"
"11,805"
"21,441"
"18,800"
"5,000"
"3,800"
"2,600"
"377,000"
"374,300"
"454,200"
"258,000"
"233,089"
"173,862"
"177,556"
"72,837"
"93,140"
"64,437"
"45,059"
"28,366"
"6,696"
-
-
-
-
-
-
-
-
-
-
-
"4,358,600"
"3,756,900"
"3,096,900"
"2,826,000"
"2,370,958"
"2,059,871"
"1,373,790"
"1,061,277"
"690,291"
"476,520"
"341,741"
"230,733"
"65,345"
"1,558"
"1,064"
"4,609"
877
"6,536"
"11,805"
"21,441"
"18,800"
"5,000"
"3,800"
"2,600"
























"822,000"
"730,400"
"878,400"
"757,000"
"709,472"
"513,782"
"317,093"
"222,732"
"137,421"
"98,394"
"81,915"
"62,581"
"68,961"
"83,225"
"91,388"
"59,840"
"71,042"
"60,005"
"38,871"
"40,187"
"23,700"
"12,300"
"9,100"
"6,600"
"1,198,800"
"1,111,800"
"1,094,400"
"954,000"
"862,595"
"630,209"
"489,720"
"384,678"
"308,176"
"227,488"
"172,767"
"133,543"
"96,142"
"54,879"
"18,951"
"14,459"
"10,621"
"7,993"
"7,135"
"4,175"
"3,000"
"2,700"
"2,800"
"1,800"
"2,336,500"
"2,162,300"
"2,292,900"
"2,033,000"
"1,688,651"
"1,143,991"
"807,230"
"607,827"
"445,979"
"325,882"
"254,682"
"196,124"
"165,103"
"138,643"
"111,403"
"75,059"
"84,223"
"67,998"
