Column 1
ttm
10/30/2018
10/30/2017
10/30/2016
10/30/2015
10/30/2014
10/30/2013
10/30/2012
10/30/2011
10/30/2010
10/30/2009
10/30/2008
10/30/2007
10/31/2006
10/31/2005
10/30/2004
10/31/2003
10/31/2002
10/31/2001
10/31/2000
10/30/1999
10/31/1998
10/31/1997
10/31/1996
10/31/1995
10/31/1994
10/30/1993
10/31/1992
10/31/1991
10/31/1990
10/31/1989
10/31/1988
10/31/1987
10/31/1986
10/31/1985



































"1,478,624"
"1,495,432"
"727,259"
"861,664"
"696,878"
"629,320"
"673,487"
"651,236"
"867,394"
"712,084"
"247,772"
"786,284"
"496,907"
"549,482"
"414,787"
"570,738"
"298,281"
"105,299"
"356,377"
"607,132"
"196,800"
"82,400"
"178,200"
"171,900"
"119,300"
"74,500"
"44,500"
"14,900"
"8,200"
"-12,900"
"27,900"
"38,000"
"18,700"
"23,400"
"29,700"
"807,277"
"799,063"
"584,059"
"209,790"
"222,240"
"141,970"
"110,416"
"109,833"
"118,219"
"120,911"
"139,870"
"153,472"
"154,783"
"172,163"
"155,564"
"152,630"
"168,283"
"238,002"
"210,490"
"156,671"
"142,600"
"127,600"
"103,600"
"83,800"
"64,100"
"61,300"
"59,800"
"55,000"
"52,700"
"46,800"
"41,500"
-
-
-
-
"-80,719"
"-736,759"
"-825,869"
"8,124"
"-52,214"
"-77,711"
"-17,699"
"-9,801"
"1,704"
"-9,866"
"11,595"
"-11,369"
"-2,850"
"-28,454"
"14,604"
"26,931"
"2,157"
"-40,563"
"-29,923"
"-12,544"
"16,600"
"-12,400"
"-6,100"
"6,600"
"1,800"
"-5,400"
"-4,100"
"1,000"
800
"-1,300"
"1,200"
-
-
-
-
"150,174"
"151,165"
"104,188"
"63,421"
"68,919"
"50,812"
"56,886"
"53,500"
"52,358"
"51,752"
"48,613"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-91,337"
"696,891"
"216,875"
"120,489"
"-9,954"
"145,019"
"180,850"
"26,203"
"-88,543"
"115,321"
"-32,813"
"-42,662"
"146,591"
"24,481"
"31,091"
"-3,460"
"-69,638"
"-102,963"
"220,599"
"-2,897"
"65,000"
"-17,700"
"21,800"
"-118,000"
"24,800"
"50,700"
"-13,500"
"-41,500"
"-14,700"
"28,700"
"-6,300"
-
-
-
-
-
"45,979"
"-65,669"
