Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993
12/31/1992
12/31/1991
12/31/1990
12/31/1989
12/31/1988
12/31/1987
12/31/1986
12/31/1985
"14,232,900"
"13,452,900"
"12,273,900"
"11,448,800"
"10,763,800"
"9,703,324"
"6,932,199"
"5,516,461"
"5,048,634"
"4,716,423"
"4,377,348"
"4,097,507"
"3,171,617"
"1,872,185"
"1,713,619"
"1,595,819"
"679,183"
"1,148,364"
"1,043,360"
"926,452"
"794,435"
"557,587"
"434,044"
"277,090"
"151,691"
"156,344"
"136,400"
"123,700"
"61,400"
"50,100"
"28,500"
"20,600"
"8,600"
"6,400"
"15,100"
"1,996,800"
"1,816,300"
"1,630,000"
"1,478,700"
"1,240,400"
"1,171,036"
"857,726"
"545,494"
"466,780"
"400,262"
"382,104"
"401,989"
"335,192"
"274,383"
"373,614"
"554,319"
"284,739"
"160,159"
"136,510"
"125,198"
"111,005"
"74,509"
"50,188"
"28,525"
"10,504"
"9,948"
"5,500"
"2,200"
"43,300"
"35,400"
"25,200"
"21,100"
"21,000"
"23,300"
"4,500"
"12,236,100"
"11,636,600"
"10,643,900"
"9,970,100"
"9,523,400"
"8,532,288"
"6,074,473"
"4,970,967"
"4,581,854"
"4,316,161"
"3,995,244"
"3,695,518"
"2,836,425"
"1,597,802"
"1,340,005"
"1,041,500"
"394,444"
"988,205"
"906,850"
"801,254"
"683,430"
"483,078"
"383,856"
"248,565"
"141,187"
"146,396"
"130,900"
"121,500"
"18,100"
"14,700"
"3,300"
-500
"-12,400"
"-16,900"
"10,600"



































"2,200,500"
"2,597,200"
"2,253,600"
"1,973,300"
"2,012,800"
"1,893,422"
"1,444,053"
"1,334,919"
"1,219,602"
"1,248,604"
"1,283,068"
"1,072,058"
"925,164"
"1,048,910"
"747,671"
"687,663"
"1,056,337"
"367,567"
"314,556"
"302,840"
"221,153"
"177,228"
"145,501"
"132,384"
"87,448"
"91,213"
-
-
-
-
-
-
-
-
-
"2,300,900"
"2,106,300"
"1,935,500"
"1,947,900"
"2,113,100"
"2,232,342"
"1,712,051"
"1,277,465"
"1,373,904"
"1,289,611"
"1,126,938"
"925,305"
"776,103"
"685,067"
"644,758"
"578,487"
"174,596"
"324,001"
"232,096"
"170,058"
"146,026"
"115,211"
"90,098"
"73,632"
"40,293"
"24,686"
"102,500"
"85,800"
"14,300"
"10,100"
"9,000"
"8,300"
"8,000"
"8,100"
"39,000"
"5,415,300"
"5,635,800"
"5,116,100"
"4,317,000"
"4,508,500"
"4,615,525"
"3,584,409"
"3,132,483"
"2,838,137"
"2,747,143"
"2,699,817"
"2,456,907"
"1,972,841"
"1,991,293"
"1,694,734"
"1,613,827"
"1,264,113"
"691,568"
"546,652"
"472,898"
"367,179"
"292,439"
"234,888"
"207,736"
"133,742"
"148,303"
"109,200"
"92,900"
"19,400"
"13,900"
"12,300"
"11,400"
"11,800"
"12,200"
"43,500"
"6,820,800"
"6,000,800"
"5,527,800"
"5,653,100"
"5,014,900"
"3,916,763"
"2,490,064"
"1,838,484"
"1,743,717"
"1,569,018"
"1,295,427"
"1,238,611"
"863,584"
"-393,491"
"-354,729"
"-572,327"
"-869,669"
"296,637"
"360,198"
"328,356"
"316,251"
"190,639"
"148,968"
"40,829"
"7,445"
"-1,907"
"21,700"
"28,600"
"-1,300"
800
"-9,000"
"-11,900"
"-24,200"
"-29,100"
"-32,900"
"190,800"
"200,600"
"250,800"
"260,000"
"95,500"
"29,500"
"31,900"
"36,500"
"33,000"
"36,100"
"35,800"
"52,000"
"40,500"
871
"9,647"
"18,898"
"15,182"
"3,546"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"60,100"
"-13,100"
"-226,700"
"-523,500"
"-247,600"
"29,870"
"-9,485"
"16,621"
"-32,503"
"-325,312"
"24,552"
"-174,468"
"-16,089"
"785,306"
"557,820"
"598,093"
"-29,383"
"-57,713"
"29,299"
"158,749"
"12,765"
"19,554"
0
0
0
0
"12,900"
"11,400"
"8,700"
"7,200"
"12,400"
"11,000"
"1,800"
"1,300"
"5,300"
"6,812,000"
"5,899,600"
"5,128,800"
"4,933,000"
"4,767,300"
"3,946,633"
"2,480,579"
"1,855,105"
"1,711,214"
"1,229,906"
"1,332,679"
"1,148,943"
"910,595"
"492,163"
"256,195"
"64,093"
"-880,624"
"276,595"
"389,497"
"487,105"
"329,016"
"210,193"
"148,968"
"40,829"
"7,445"
"-1,907"
"34,600"
"39,900"
"7,500"
"8,000"
"3,400"
-900
"-22,400"
"-27,800"
"-18,700"
"1,351,500"
"1,425,600"
"2,458,700"
"1,237,300"
"1,161,600"
"989,942"
"601,014"
"470,554"
"444,528"
"331,333"
"355,617"
"365,776"
"272,423"
"278,431"
"95,484"
"39,007"
"-5,527"
"77,447"
"116,814"
"153,528"
"108,566"
"71,496"
"59,801"
299
"1,785"
"2,990"
"2,200"
"1,600"
300
300
200
300
200
400
400
"5,393,700"
"4,474,000"
"2,670,100"
"3,695,700"
"3,593,200"
"2,941,565"
"1,862,341"
"1,380,033"
"1,266,686"
"898,573"
"977,062"
"783,167"
"638,172"
"213,732"
"160,711"
"25,086"
"-875,097"
"199,148"
"272,683"
"333,577"
"220,450"
"138,697"
"89,167"
"40,530"
"5,660"
"-4,897"
"32,400"
"38,300"
"7,200"
"7,700"
"3,200"
"-1,200"
"-22,600"
"-28,200"
"-19,100"
"5,395,600"
"4,430,700"
"2,539,100"
"3,702,800"
"3,547,000"
