Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993
12/31/1992
12/31/1991
12/31/1990
12/31/1989
12/31/1988
12/31/1987
12/31/1986
"16,982,000"
"15,281,000"
"13,003,000"
"11,229,200"
"9,256,000"
"7,670,400"
"6,493,900"
"5,506,713"
"4,842,070"
"3,620,345"
"2,689,893"
"2,254,781"
"1,405,820"
"898,873"
"536,941"
"377,502"
"271,475"
"135,746"
"114,243"
"84,250"
"26,200"
"3,800"
"1,100"
"2,500"
"1,700"
"2,300"
"3,000"
800
"1,000"
300
800
500
400
200
"627,000"
"587,000"
"461,000"
"438,000"
"420,100"
"385,900"
"340,400"
"299,124"
"425,859"
"307,771"
"216,289"
"258,267"
"130,239"
"125,892"
"80,727"
"59,726"
"49,085"
"17,322"
"13,571"
"4,631"
"1,600"
500
500
100
200
400
"8,400"
"6,500"
"6,900"
"5,400"
"4,700"
"4,000"
"2,500"
"1,300"
"16,355,000"
"14,694,000"
"12,542,000"
"10,791,200"
"8,835,900"
"7,284,500"
"6,153,500"
"5,207,589"
"4,416,211"
"3,312,574"
"2,473,604"
"1,996,514"
"1,275,581"
"772,981"
"456,214"
"317,776"
"222,390"
"118,424"
"100,672"
"79,619"
"24,600"
"4,300"
"1,600"
"2,400"
"1,900"
"1,900"
"-5,400"
"-5,700"
"-5,900"
"-5,100"
"-3,900"
"-3,500"
"-2,100"
"-1,100"


































"4,621,000"
"5,673,000"
"5,915,000"
"4,470,100"
"3,697,300"
"2,430,600"
"2,226,200"
"1,724,156"
"1,600,264"
"1,128,495"
"794,848"
"931,218"
"398,590"
"258,621"
"190,834"
"160,852"
"122,700"
"84,924"
"67,653"
"52,712"
"19,600"
"19,800"
"17,400"
"16,300"
"8,200"
"6,500"
-
-
-
-
-
-
-
-
"3,197,000"
"3,250,000"
"2,941,000"
"2,657,700"
"2,305,400"
"2,027,900"
"1,684,500"
"1,373,541"
"1,226,314"
"950,634"
"753,827"
"685,547"
"451,870"
"339,669"
"181,796"
"114,196"
"102,339"
"69,717"
"57,962"
"49,851"
"26,200"
"16,200"
"9,100"
"4,000"
"2,900"
"3,100"
"4,000"
"2,600"
"2,700"
"2,400"
"2,100"
"2,300"
"3,200"
"1,400"
"8,272,000"
"9,391,000"
"9,185,000"
"7,586,800"
"6,281,700"
"4,716,800"
"4,173,500"
"3,292,196"
"3,115,804"
"2,282,360"
"1,632,078"
"1,720,732"
"850,460"
"598,290"
"372,630"
"275,048"
"225,039"
"186,853"
"125,615"
"107,259"
"47,200"
"36,800"
"27,000"
"21,200"
"12,100"
"10,300"
"5,000"
"3,400"
"3,700"
"3,400"
"3,000"
"3,100"
"3,700"
"1,500"
"8,083,000"
"5,303,000"
"3,357,000"
"3,204,400"
"2,554,200"
"2,567,700"
"1,980,000"
"1,915,393"
"1,300,407"
"1,030,214"
"841,526"
"275,782"
"425,121"
"174,691"
"83,584"
"42,728"
"-2,649"
"-68,429"
"-24,943"
"-27,641"
"-22,600"
"-32,500"
"-25,400"
"-18,800"
"-10,200"
"-8,400"
"-10,400"
"-9,100"
"-9,600"
"-8,500"
"-6,900"
"-6,600"
"-5,800"
"-2,600"
"764,000"
"741,000"
"522,000"
"500,100"
"310,600"
"176,100"
"91,600"
"63,205"
"42,737"
"12,634"
"1,966"
"4,437"
"11,127"
"9,417"
"9,497"
"9,551"
"5,667"
27
83
"2,081"
"2,800"
300
100
300
400
-
-
-
-
-
-
-
-
-
"-782,000"
"225,000"
"1,374,000"
"-362,100"
"-251,200"
"-92,400"
"-314,600"
"-233,902"
"145,150"
"-50,657"
"1,103"
"-1,725,005"
"-6,838"
"-2,731"
"-6,923"
0
0
"-87,911"
0
"-6,668"
-100
700
500
"1,300"
-
600
-
"1,900"
"1,000"
"1,300"
"1,700"
"1,700"
"1,500"
200
"6,669,000"
"4,832,000"
"4,314,000"
"2,372,500"
"2,023,500"
"2,327,400"
"1,665,400"
"1,681,491"
"1,419,522"
"1,017,156"
"975,703"
"-1,368,825"
"516,969"
"202,895"
"84,212"
"63,171"
"13,479"
"-101,099"
"-4,136"
"-18,813"
"-24,800"
-
-
-
-
-
-
-
-
-
-
-
-
-
"789,000"
"786,000"
"1,374,000"
"373,300"
"421,500"
"327,500"
"215,500"
"225,311"
"102,066"
"132,974"
"198,956"
"164,828"
"290,536"
"133,914"
"20,556"
"10,415"
718
-98
"-1,232"
"-1,810"
"-3,000"
-
-
-
-
-
-
-
-
-
-
-
-
-
"5,880,000"
"4,046,000"
"2,940,000"
"1,999,200"
"1,602,000"
"1,999,900"
"1,449,900"
"1,456,180"
"1,317,456"
"884,182"
"776,747"
"-1,533,653"
"226,433"
"68,981"
"63,656"
"52,756"
"12,761"
"-101,000"
"-2,904"
"-17,003"
"-21,800"
"-32,000"
"-25,000"
"-17,800"
"-10,500"
"-7,900"
"-10,300"
"-7,100"
"-8,700"
"-7,200"
"-5,200"
"-4,900"
"-4,300"
"-2,400"
"5,880,000"
"4,046,000"
"2,940,000"
"1,999,200"
"1,602,000"
"1,999,900"
"1,449,900"
"1,456,180"
"1,318,150"
"884,502"
"776,747"
"-1,533,653"
"226,433"
"68,981"
"63,656"
"52,756"
"13,511"
"-100,000"
"-1,912"
"-16,284"
"-21,800"
"-25,100"
"-25,400"
"-17,800"
"-10,500"
"-10,200"
"-10,300"
"-7,100"
"-8,700"
"-7,200"
"-5,200"
"-4,900"
"-4,300"
"-2,400"
"5,880,000"
"4,046,000"
"2,940,000"
"1,999,200"
"1,602,000"
"1,999,900"
"1,449,900"
"1,456,180"
"1,318,150"
"884,502"
"776,747"
"-1,533,653"
"226,433"
"68,981"
"63,656"
"52,756"
"13,511"
"-100,000"
"-1,912"
"-17,284"
"-21,800"
"-25,100"
"-26,900"
"-20,600"
"-10,500"
"-10,200"
"-10,300"
"-7,100"
"-8,700"
"-7,200"
"-5,200"
"-4,900"
"-4,300"
"-2,400"


































-
5.65
3.77
2.57
2.02
2.49
1.75
1.69
1.45
0.95
0.84
-1.73
0.29
0.10
0.10
0.08
0.02
-0.16
-0.00
-0.03
-0.05
-0.06
-0.09
-0.10
-0.05
-0.05
-0.06
-0.04
-0.06
-0.06
-0.04
-0.04
-0.04
-0.03
-
5.51
3.64
2.49
1.94
2.39
1.69
1.65
1.43
0.94
0.83
-1.73
0.27
0.09
0.09
0.08
0.02
-0.16
-0.00
-0.03
-0.05
-0.06
-0.09
-0.10
-0.05
-0.05
-0.06
-0.04
-0.06
-0.06
-0.04
-0.04
-0.04
-0.03


































-
"716,300"
"779,200"
"777,200"
"792,200"
"802,700"
"827,600"
"861,854"
"910,696"
"924,596"
"918,608"
"885,240"
"766,450"
"704,434"
"670,063"
"655,476"
"647,096"
"618,696"
"600,864"
"532,784"
"408,288"
"387,840"
"293,160"
"226,800"
"193,752"
"194,286"
"183,111"
"189,333"
"136,471"
"128,000"
"126,061"
"130,667"
"104,242"
"71,111"
-
"733,800"
"808,700"
"803,300"
"824,900"
"836,000"
"860,600"
"881,592"
"925,496"
"939,034"
"934,708"
"885,240"
"863,716"
"814,362"
"707,289"
"691,420"
"683,184"
"618,696"
"644,864"
"532,784"
"420,000"
"387,840"
"293,160"
"226,800"
"193,752"
"194,286"
"183,111"
"189,333"
"136,471"
"128,000"
"126,061"
"130,667"
"104,242"
"71,111"
-
"6,041,000"
"5,165,000"
"3,331,600"
"2,613,100"
"2,761,800"
"2,242,800"
"2,109,892"
"1,589,633"
"1,233,445"
"924,929"
"-1,215,487"
"456,019"
"199,747"
"102,129"
"57,054"
"8,175"
"-62,880"
"-19,857"
"-22,944"
"-21,200"
"-31,700"
"-24,900"
"-17,900"
"-9,200"
"-7,700"
"-9,400"
"-8,300"
"-8,600"
"-7,500"
"-6,000"
"-5,800"
"-5,300"
"-2,500"
