Column 1
ttm
12/31/2018
12/31/2017
5/30/2016
5/30/2015
5/30/2014
5/30/2013
5/30/2012
5/30/2011
5/30/2010
5/30/2009
5/30/2008
5/30/2007
5/30/2006
5/30/2005
5/30/2004
5/30/2003
5/30/2002
5/30/2001
5/30/2000




















"403,057"
"452,053"
"468,425"
"271,666"
"278,040"
"245,286"
"216,125"
"280,229"
"209,238"
"203,317"
"37,217"
"162,754"
"142,985"
"125,524"
"92,896"
"62,443"
"53,300"
"23,840"
"23,668"
"33,047"
"630,863"
"522,813"
"451,151"
"187,881"
"137,505"
"122,069"
"111,788"
"99,099"
"82,237"
"68,667"
"66,288"
"44,034"
"40,365"
"40,489"
"45,306"
"35,540"
"32,061"
"29,571"
"21,756"
"20,028"
"-39,468"
"-1,451"
"-250,670"
"-18,162"
"81,079"
"-1,799"
"33,112"
"-19,498"
"19,154"
"2,722"
"5,457"
"-1,151"
"-2,211"
777
"9,002"
"-1,737"
"10,968"
"-6,620"
"-3,694"
"1,786"
"68,680"
"57,826"
"39,095"
"30,809"
"21,056"
"29,793"
"18,427"
"16,391"
"15,885"
"18,072"
"14,570"
-
-
-
-
-
-
-
-
-
"572,424"
"-44,526"
"-358,869"
"57,797"
"-141,633"
"-245,007"
"-178,275"
"-506,675"
"346,737"
"105,413"
"45,183"
"18,306"
"-38,804"
"30,861"
"60,566"
"-27,276"
"-86,008"
"73,158"
"18,016"
"-20,201"
"-86,399"
"-33,386"
"-14,096"
"-14,542"
"1,248"
"-18,539"
"-5,458"
"-16,422"
"-34,723"
"-11,689"
"-25,077"
-
-
-
-
-
-
-
-
-
-
-
-
-
127
"4,793"
"-1,187"
"-2,394"
"1,979"
"-4,727"
"-1,653"
-623
-167
-520
458
-85
"1,263"
605
728
"-2,112"
-
-
"146,327"
"-81,506"
"-72,802"
"9,224"
"-39,374"
-
-
-
-
-
-
-
-
-
-
-
-
-
"1,536,218"
"892,792"
"330,483"
"493,410"
"332,151"
"112,687"
"141,956"
"-283,351"
"611,235"
"409,707"
"342,031"
"227,440"
"155,758"
"209,735"
"195,254"
"67,606"
"17,633"
"138,078"
"65,013"
"35,294"
"77,864"
"43,516"
"89,168"
"9,257"
"3,073"
"-1,484"
"-4,878"
"214,791"
"17,001"
"27,468"
"29,631"
"44,054"
"37,776"
"28,648"
-
-
-
-
-
"6,636"
"1,794,465"
"1,106,082"
"512,388"
"585,001"
"424,701"
"194,098"
"240,546"
"-173,475"
"709,772"
"465,761"
"382,971"
"272,414"
"191,132"
"234,773"
"229,559"
"92,170"
"35,559"
"160,468"
"78,614"
"41,296"




















"-243,933"
"-213,290"
"-181,905"
"-91,591"
"-92,550"
"-81,411"
"-98,590"
"-109,876"
"-98,537"
"-56,054"
"-40,940"
"-44,974"
"-35,374"
"-25,038"
"-34,305"
"-24,564"
"-17,926"
"-22,390"
"-13,601"
"-6,002"
"-824,993"
"-1,259,692"
"-562,688"
"-2,035,657"
"-359,187"
"-426,524"
"-434,016"
"-44,274"
"-170,545"
"-29,513"
"-525,205"
-
-
-
-
-
-
-
-
0
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-5,000"
-
0
0
-
"10,597"
"3,607"
"1,227"
"1,152"
0
311
"6,888"
-
-
-
-
-
-
-
-
-
"28,190"
"-3,305"
"-28,997"
0
219
"2,658"
"2,812"
"2,565"
"2,062"
-179
0
0
0
0
0
0
0
"-5,000"
"3,502"
0
"-1,055,050"
"-1,476,287"
"-736,025"
"-2,127,248"
"-440,921"
"-501,670"
"-528,567"
"-150,433"
"-267,020"
"-25,204"
"-559,257"
"-63,221"
"-116,635"
"-29,955"
"-65,078"
"-146,840"
"-19,079"
"-87,544"
"-33,449"
"-11,002"




















"-6,933,038"
"-2,304,314"
"-1,781,541"
"-3,691,608"
"-2,148,907"
"-2,260,597"
"-482,349"
"-184,235"
"-280,198"
"-382,880"
"-16,734"
-
-
-
-
-
-
-
-
"-9,457"
-
"14,318"
"10,115"
"8,480"
"22,550"
"31,727"
"10,543"
-
-
"30,248"
"9,050"
"17,385"
"19,332"
"23,922"
