Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993



























"404,964"
"109,493"
"-313,142"
"104,222"
"6,531"
"-48,481"
"-83,147"
"-44,320"
"-186,540"
"-31,846"
"-211,870"
"-178,920"
"-86,881"
"-74,166"
"-103,043"
"-164,817"
"-166,463"
"-136,885"
"-183,235"
"-29,735"
"-26,800"
"3,500"
"10,400"
"-6,800"
"-10,100"
"-11,500"
"-4,900"
"55,414"
"54,969"
"52,178"
"58,425"
"44,883"
"41,413"
"29,207"
"29,979"
"26,990"
"24,485"
"16,690"
"13,071"
"12,963"
"7,411"
"8,192"
"13,913"
"17,685"
"23,206"
"47,665"
"34,842"
"24,700"
"17,800"
"10,400"
"6,500"
"2,600"
900
400
-
-459
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"161,889"
"148,153"
"133,055"
"96,201"
"69,872"
"62,156"
"38,398"
"38,493"
"28,983"
"14,856"
"9,980"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"13,122"
"-46,539"
"-64,229"
"24,753"
"-34,847"
"-29,119"
"-4,482"
"-118,430"
"-31,245"
"87,017"
"154,181"
"9,509"
"-19,949"
"13,020"
"-6,077"
"-3,685"
"-22,306"
"28,229"
"-25,476"
"-6,213"
"-24,800"
"2,200"
"-2,100"
"13,300"
"-1,500"
"3,800"
-100
"-28,380"
"-41,299"
"-117,541"
"-23,947"
"-56,517"
"-22,559"
"35,577"
"-64,536"
-714
"157,960"
"-162,611"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-1,900"
"4,043"
"4,851"
"4,047"
98
"-4,093"
"-6,590"
"-5,217"
"-3,536"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-102
"36,156"
"-7,928"
"43,758"
"5,623"
"5,360"
"5,141"
-978
"4,166"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"588,846"
"262,744"
"-204,009"
"184,479"
"60,533"
"-1,620"
"4,913"
"-97,669"
"-165,514"
"93,829"
"11,971"
"-141,558"
"-93,847"
"-51,935"
"-103,505"
"-116,058"
"-128,070"
"-70,156"
"-59,923"
"-103,720"
"-56,200"
"1,500"
"-7,400"
"-4,200"
"-16,900"
"-8,900"
"-4,800"
"24,467"
"26,517"
"7,994"
"17,894"
"43,271"
"41,413"
"29,207"
"29,979"
"-186,628"
-379
"2,011"
"15,480"
"9,652"
"9,650"
-
-
-
-
-
-
100
-100
-
-
-100
100
200
"662,876"
"336,227"
"-92,988"
"304,756"
"86,536"
"26,256"
"9,180"
"-94,830"
"-161,715"
"97,938"
"12,358"
"-140,860"
"-92,694"
"-50,367"
"-101,872"
"-114,667"
"-118,332"
"-58,266"
"-47,004"
"-7,344"
"-21,400"
"36,200"
"18,700"
"16,000"
"-9,000"
"-6,300"
"-4,400"



























"-74,030"
"-73,483"
"-111,021"
"-120,277"
"-26,003"
"-27,876"
"-4,267"
"-2,839"
"-3,799"
"-4,109"
-387
-698
"-1,153"
"-1,568"
"-1,633"
"-1,391"
"-9,738"
"-11,890"
"-12,919"
"-96,376"
"-34,800"
"-34,700"
"-26,100"
"-20,200"
"-7,900"
"-2,600"
-400
-
0
0
"-142,856"
"-39,829"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-277,861"
"-168,868"
"-384,671"
"-57,372"
"-147,981"
"-134,091"
"-33,713"
-9
-
-
0
-
"-45,024"
"-511,408"
"-348,540"
"-830,494"
"-575,483"
"-5,000"
"-916,385"
"-832,451"
"-27,200"
"-98,500"
"-61,700"
"-16,500"
"-74,000"
"-26,200"
-
"258,368"
"155,928"
"145,714"
"88,017"
"68,974"
"23,528"
583
860
"1,298"
"19,313"
"16,839"
"106,591"
"216,539"
"539,011"
"365,642"
"753,185"
"717,297"
"808,620"
"903,447"
"395,134"
"53,300"
"95,000"
"26,700"
"16,300"
"61,700"
"7,900"
700
-
-
-
0
0
0
0
0
0
0
0
0
0
0
0
0
0
"-1,150"
0
0
0
"-7,200"
"-4,300"
0
0
0
0
"-93,523"
"-86,423"
"-349,978"
"-232,488"
"-105,010"
"-138,439"
"-37,397"
"-1,988"
"-2,501"
"15,204"
"16,452"
"105,893"
"170,362"
"26,035"
"15,528"
"-77,160"
"126,351"
"41,228"
"-25,557"
"-533,693"
"-8,700"
"-45,400"
"-65,400"
"-20,400"
"-20,200"
"-20,900"
300



























-626
0
"-8,934"
-445
"-1,699"
-265
"-511,478"
0
0
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
"649,387"
"49,973"
"86,436"
"92,844"
"73,157"
"47,711"
"19,468"
"13,590"
"134,397"
"104,880"
"2,325"
"1,408"
"1,489"
"90,150"
"1,997"
"7,182"
"11,268"
"434,652"
"13,600"
"4,800"
"90,200"
"1,600"
"32,800"
"19,200"
"15,100"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-105
"-5,723"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-22,165"
"-15,285"
"-17,046"
"9,117"
"2,879"
478
"-14,786"
0
0
"-158,644"
"-279,512"
0
0
0
0
0
0
72
"-5,498"
20
100
0
0
0
0
100
0
"20,454"
"14,657"
"690,171"
"58,645"
"87,616"
"93,057"
"275,589"
"47,711"
"19,468"
"-145,054"
"242,254"
"104,880"
"12,325"
"31,699"
"-34,348"
"294,238"
"-1,167"
"-3,159"
"5,770"
"619,120"
"12,500"
"4,000"
"90,200"
"1,500"
"32,700"
"18,600"
"14,900"
"589,830"
"264,552"
"247,166"
"130,904"
"69,142"
"-19,132"
"247,372"
"-49,107"
"-144,748"
"-31,912"
"271,057"
"69,913"
"89,993"
"7,367"
"-120,686"
"102,482"
"6,770"
"-20,440"
"-66,787"
"77,935"
"-17,800"
"-5,600"
"43,500"
"-2,900"
"3,500"
"-8,700"
"10,700"
"1,113,188"
"900,434"
"652,343"
"521,439"
"452,297"
"471,429"
"224,057"
"273,164"
"417,912"
"449,824"
"178,767"
"108,854"
"18,861"
"11,494"
"132,180"
"29,698"
"22,928"
"43,368"
"110,155"
"32,220"
"50,000"
"55,600"
"7,600"
"10,500"
"6,800"
"15,500"
"4,800"
"1,702,995"
"1,164,986"
"899,509"
"652,343"
"521,439"
"452,297"
"471,429"
"224,057"
"273,164"
"417,912"
"449,824"
"178,767"
"108,854"
"18,861"
"11,494"
"132,180"
"29,698"
"22,928"
"43,368"
"110,155"
"32,200"
0
0
0
0
0
0



























"662,876"
"336,227"
"-92,988"
"304,756"
"86,536"
"26,256"
"9,180"
"-94,830"
"-161,715"
"97,938"
"12,358"
"-140,860"
"-92,694"
"-50,367"
"-101,872"
"-114,667"
"-118,332"
"-58,266"
"-47,004"
"-7,344"
"-21,400"
"36,200"
"18,700"
"16,000"
"-9,000"
"-6,300"
"-4,400"
"-74,030"
"-73,483"
"-111,021"
"-120,277"
"-26,003"
"-27,876"
"-4,267"
"-2,839"
"-3,799"
"-4,109"
-387
-698
"-1,153"
"-1,568"
"-1,633"
"-1,391"
"-9,738"
"-11,890"
"-12,919"
"-96,376"
"-34,800"
"-34,700"
"-26,100"
"-20,200"
"-7,900"
"-2,600"
-400
"588,846"
"262,744"
"-204,009"
"184,479"
"60,533"
"-1,620"
"4,913"
"-97,669"
"-165,514"
"93,829"
"11,971"
"-141,558"
"-93,847"
"-51,935"
"-103,505"
"-116,058"
"-128,070"
"-70,156"
"-59,923"
"-103,720"
"-56,200"
"1,500"
"-7,400"
"-4,200"
"-16,900"
"-8,900"
"-4,800"
