Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993
12/31/1992
12/31/1991





























"422,862"
"377,031"
"263,144"
"222,045"
"192,078"
"181,906"
"187,800"
"178,267"
"161,786"
"141,284"
"122,225"
"116,169"
"94,014"
"93,678"
"78,254"
"78,332"
"57,090"
"45,389"
"37,620"
"36,632"
"32,600"
"-15,200"
"-21,100"
"32,600"
"21,500"
"13,300"
"9,700"
"4,900"
"3,200"
"86,026"
"83,178"
"83,140"
"78,218"
"68,956"
"58,888"
"54,596"
"52,408"
"48,202"
"45,956"
"49,773"
"48,819"
"41,100"
"29,816"
"24,369"
"18,427"
"18,897"
"20,124"
"22,229"
"19,481"
"17,200"
"15,900"
"14,400"
"10,400"
"5,700"
"4,500"
"3,800"
"3,500"
"1,000"
"-9,238"
"1,209"
"-7,918"
"20,881"
"5,143"
830
"2,073"
"-1,970"
"5,996"
-908
"3,270"
"5,634"
"-9,074"
"-6,135"
"-4,477"
"4,599"
"-1,192"
"3,750"
-380
"3,381"
"2,000"
-
-
-
-
-
-
-
-
"28,832"
"25,157"
"23,517"
"19,891"
"19,884"
"18,099"
"16,539"
"15,952"
"15,496"
"13,262"
"11,623"
"10,501"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-90,768"
"-91,640"
"8,380"
"3,002"
"-69,811"
"-9,718"
"-3,063"
"2,263"
"6,512"
"-3,135"
"-11,559"
"-33,206"
"-1,011"
"-10,236"
"10,745"
"-13,637"
"21,818"
"33,060"
"-13,105"
"-31,254"
800
"8,100"
"5,400"
"-35,000"
"-20,500"
"-3,200"
"-6,100"
"-8,600"
-300
"-9,811"
"-18,401"
"-24,918"
"-22,554"
"-50,142"
"-3,626"
"-15,946"
"3,487"
"-24,809"
"-6,914"
"-1,155"
"-10,266"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-34,790"
"-25,623"
"-19,062"
"7,648"
"-34,969"
"-38,310"
"-1,347"
"-13,752"
"-6,310"
"-19,469"
"6,223"
"-18,468"
"-5,230"
"-25,679"
"7,433"
758
71
"11,405"
"-20,319"
"-28,506"
"5,200"
"4,900"
"-11,200"
"-19,200"
"-7,400"
"-6,200"
"-1,600"
"-4,300"
-600
"2,351"
-166
"1,391"
"2,117"
"-2,468"
"6,703"
"-4,399"
"-1,304"
"13,884"
"3,482"
"-9,156"
"-4,327"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"290,236"
"277,148"
"296,572"
"269,784"
"133,443"
"175,148"
"167,360"
"161,232"
"120,479"
"139,531"
"115,875"
"53,372"
"68,880"
"38,471"
"92,353"
"63,674"
"100,259"
"88,166"
"28,983"
"12,720"
"40,200"
"-2,000"
"-22,000"
"-3,800"
"-9,100"
"10,400"
"5,300"
"-2,400"
"-5,600"
12
"114,677"
"101,627"
"124,217"
"105,355"
"79,691"
"75,423"
"64,408"
"68,441"
"58,774"
"63,042"
"60,380"
"10,095"
"2,855"
-
-
-
-
-
-
-
"37,300"
"14,800"
-
100
200
-
100
-100
"439,393"
"400,084"
"373,276"
"334,571"
"216,364"
"235,846"
"245,996"
"230,282"
"220,700"
"178,833"
"173,718"
"143,343"
"135,124"
"109,826"
"116,552"
"95,379"
"117,155"
"103,253"
"46,364"
"28,240"
"52,600"
"46,100"
"13,500"
"8,000"
"6,800"
"14,800"
"7,400"
-100
"3,800"





























"-149,157"
"-122,936"
"-76,704"
"-64,787"
"-82,921"
"-60,698"
"-78,636"
"-69,050"
"-100,221"
"-39,302"
"-57,843"
"-89,971"
"-66,244"
"-71,355"
"-24,199"
"-31,705"
"-16,896"
"-15,087"
"-17,381"
"-15,520"
"-12,400"
"-48,100"
"-35,500"
"-11,800"
"-15,900"
"-4,400"
"-2,100"
"-2,300"
"-9,400"
-304
"-22,500"
