Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
"1,338,005"
"1,459,874"
"1,408,889"
"1,006,173"
"901,265"
"769,832"
"648,034"
"562,528"
"474,482"
"299,256"
"185,894"
"229,076"
"188,677"
"143,225"
"96,385"
"60,707"
"33,740"
"22,180"
"26,490"
"689,251"
"659,606"
"611,978"
"453,933"
"409,388"
"353,314"
"308,136"
"257,801"
"217,227"
"152,798"
"121,626"
"121,776"
"103,695"
"79,931"
"62,481"
"42,274"
-
"23,277"
"26,223"
"648,754"
"800,268"
"796,911"
"552,240"
"491,877"
"416,518"
"339,898"
"304,727"
"257,255"
"146,458"
"64,268"
"107,300"
"84,982"
"63,294"
"33,904"
"18,433"
-
"-1,097"
267



















"131,029"
"122,769"
"100,870"
"78,552"
"63,334"
"53,403"
"41,660"
"31,401"
"25,422"
"19,160"
"18,543"
"15,804"
"9,527"
"6,544"
"5,788"
"4,831"
-
"8,383"
-
"185,289"
"160,244"
"130,469"
"104,879"
"89,060"
"85,975"
"77,555"
"63,076"
"59,173"
"47,745"
"35,646"
"34,300"
"29,131"
"20,744"
"13,834"
"10,542"
-
"33,264"
-
"316,318"
"283,013"
"231,339"
"183,431"
"152,394"
"139,378"
"119,215"
"94,477"
"84,595"
"66,057"
"55,211"
"50,104"
"38,658"
"27,288"
"19,622"
"15,373"
-
"51,121"
"63,564"
"332,436"
"517,255"
"565,572"
"368,809"
"339,483"
"277,140"
"220,683"
"210,250"
"172,660"
"80,401"
"9,057"
"57,196"
"46,324"
"36,006"
"14,282"
"3,060"
"33,740"
"-52,218"
"-63,297"
-
-
-
-
-
-
-
-
681
"1,188"
"1,252"
777
-
"1,493"
"1,840"
"2,150"
-
"1,089"
-
"-2,024"
"8,083"
"-14,438"
"-3,548"
"2,435"
"7,411"
"-2,381"
"-1,354"
"2,605"
39
-36
145
612
"-6,394"
-509
-419
-
"3,843"
975
"346,281"
"534,395"
"551,871"
"366,565"
"341,617"
"284,474"
"218,301"
"209,215"
"174,584"
"79,252"
"7,769"
"56,564"
"47,610"
"28,119"
"11,933"
491
-
"-48,375"
"-53,603"
"86,251"
"130,226"
"204,283"
"105,849"
"99,590"
"84,029"
"62,521"
"61,471"
"53,575"
"24,900"
"2,485"
"18,111"
"15,522"
"-2,995"
"4,080"
"-1,601"
-
"1,175"
"-3,985"
"260,030"
"404,169"
"347,588"
"260,716"
"242,027"
"200,445"
"155,780"
"147,744"
"121,009"
"54,352"
"5,284"
"36,654"
"29,895"
"29,233"
"7,427"
"2,012"
"-28,210"
"-49,550"
"-49,618"
"260,243"
"404,027"
"347,614"
"260,752"
"242,154"
"200,445"
"155,780"
"145,004"
"117,759"
"53,991"
"5,419"
"36,654"
"29,895"
"29,233"
"7,427"
"2,012"
"-28,210"
"-49,385"
"-49,622"
"260,243"
"404,027"
"347,614"
"260,752"
"242,154"
"200,445"
"155,780"
"145,004"
"117,759"
"53,991"
"5,419"
"36,654"
"29,895"
"29,233"
"7,427"
"2,012"
"-28,210"
"-49,385"
"-49,622"



















-
7.55
6.50
4.91
4.60
3.85
3.02
2.87
2.48
1.16
0.12
0.82
0.69
0.27
0.16
0.01
-0.93
-2.13
-2.17
-
7.38
6.36
4.85
4.53
3.79
2.97
2.81
2.41
1.13
0.12
0.79
0.65
0.26
0.16
0.01
-0.93
-2.13
-2.17



















-
"53,522"
"53,495"
"53,068"
"52,676"
"52,104"
"51,548"
"50,477"
"47,365"
"46,424"
"45,489"
"44,507"
"43,269"
"27,896"
"26,232"
"38,547"
"38,302"
"23,185"
"23,973"
-
"54,726"
"54,699"
"53,797"
"53,427"
"52,824"
"52,375"
"51,536"
"48,685"
"47,594"
"46,595"
"46,223"
"45,749"
"33,005"
"30,167"
"38,547"
"38,302"
"23,185"
"23,973"
-
"597,526"
"630,140"
"420,284"
"381,898"
"312,752"
"252,974"
"236,607"
"199,647"
"102,246"
"28,193"
"73,030"
"58,628"
"45,111"
"21,865"
"10,214"
"33,740"
"-52,218"
"-63,297"
