Column 1
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2002
12/31/2001



















































"544,358"
"909,900"
"623,855"
"582,532"
"522,150"
"448,776"
"384,053"
"180,234"
"147,860"
"82,920"
"51,283"
"37,972"
"75,667"
"8,361"
"2,548"
"1,379"
"8,851"
"500,432"
"206,257"
"206,779"
"106,584"
-
-
0
"25,451"
-
-
-
"6,950"
-
-
-
-
-
"1,044,790"
"1,116,157"
"830,634"
"689,116"
"522,150"
"448,776"
"384,053"
"205,685"
"147,860"
"82,920"
"51,283"
"44,922"
"75,667"
"8,361"
"2,548"
"1,379"
"8,851"
"255,509"
"237,278"
"155,901"
"150,479"
"143,109"
"103,803"
"96,630"
"75,755"
"55,399"
"30,356"
"41,842"
"33,946"
"22,353"
"15,434"
"10,806"
-
-
"403,579"
"307,712"
"239,010"
"203,738"
"171,009"
"172,700"
"139,618"
"116,978"
"72,470"
"52,869"
"72,555"
"60,412"
"42,162"
"28,588"
"29,577"
-
-
-
0
0
0
0
0
0
0
0
0
0
0
0
0
0
-
-
"1,805,424"
"1,754,010"
"1,300,962"
"1,122,935"
"893,838"
"786,343"
"664,959"
"434,737"
"300,691"
"181,343"
"181,023"
"155,691"
"156,439"
"57,870"
"46,651"
-
-


































"878,575"
"743,925"
"606,614"
"475,397"
"439,053"
"403,728"
"337,250"
"262,276"
"214,234"
"195,955"
"184,390"
"157,287"
"117,849"
"91,706"
"82,576"
-
-
"-335,507"
"-283,719"
"-227,239"
"-186,793"
"-163,971"
"-151,483"
"-126,687"
"-107,074"
"-93,551"
"-84,502"
"-69,898"
"-60,918"
"-50,696"
"-40,711"
"-36,594"
-
-
"543,068"
"460,206"
"379,375"
"288,604"
"275,082"
"252,245"
"210,563"
"155,202"
"120,683"
"111,453"
"114,492"
"96,369"
"67,153"
"50,995"
"45,982"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"100,722"
"55,831"
"19,828"
505
455
455
"2,898"
-
-
-
-
-
-
-
-
-
-
"87,139"
"51,223"
"28,789"
"11,904"
"9,227"
"9,564"
"7,510"
"6,157"
"7,131"
-
-
-
-
-
-
-
-
"18,932"
"19,009"
"18,603"
"20,095"
"26,847"
"7,810"
"7,461"
"7,486"
"16,040"
"15,956"
"15,303"
"8,466"
"5,099"
"6,616"
"13,151"
-
-
"769,026"
"617,965"
"489,037"
"330,494"
"317,049"
"274,873"
"230,539"
"173,675"
"141,070"
"131,293"
"132,195"
"107,630"
"76,053"
"57,611"
"63,894"
-
-
"2,574,450"
"2,371,975"
"1,789,999"
"1,453,429"
"1,210,887"
"1,061,216"
"895,498"
"608,412"
"441,761"
"312,636"
"313,218"
"263,321"
"232,492"
"115,481"
"110,545"
"117,166"
"128,230"



















































"3,671"
"3,604"
"3,188"
"2,000"
"15,964"
"4,629"
"4,117"
"8,670"
"8,174"
"7,340"
"21,102"
"11,218"
"10,902"
"19,184"
"14,254"
-
-
"36,303"
"35,109"
"28,048"
"26,314"
"17,141"
"18,787"
"17,783"
"11,122"
"9,510"
"5,620"
"7,739"
"9,444"
"7,640"
"5,164"
"3,240"
-
-
"51,161"
"15,773"
"24,554"
"37,809"
"21,672"
"15,218"
"42,443"
"26,019"
"11,594"
"2,179"
-
-
-
-
-
-
-
"154,640"
"144,417"
"102,485"
"75,667"
"64,057"
"59,336"
"51,723"
"47,285"
"50,105"
"21,189"
"17,988"
"8,980"
"7,525"
"9,907"
"7,174"
-
-
"56,522"
"47,324"
"34,571"
"21,525"
"16,605"
"18,489"
"17,174"
"15,317"
-
-
-
-
-
-
-
-
-
-
0
0
0
0
0
0
0
0
0
507
"4,840"
"14,704"
65
"1,049"
-
-
"245,775"
"198,903"
"158,275"
"144,980"
"122,075"
"100,079"
"125,897"
"98,501"
"82,770"
"36,831"
"49,026"
"34,482"
"40,771"
"34,320"
"25,717"
-
-

















"41,707"
"45,378"
"37,635"
"17,667"
"19,667"
"11,333"
"14,014"
"15,726"
"16,040"
"16,667"
"17,997"
"20,000"
"30,068"
"30,287"
"39,358"
-
-
"80,734"
"105,372"
"36,365"
"30,117"
"22,584"
"21,835"
"12,660"
-
"1,087"
"2,567"
"2,896"
"4,204"
232
82
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
0
0
0
0
0
"4,452"
"24,903"
0
0
0
0
0
0
-
-
"122,441"
"150,750"
"74,000"
"47,784"
"42,251"
"33,168"
"26,674"
"20,178"
"42,030"
"19,234"
"20,893"
"24,204"
"30,300"
"126,717"
"133,355"
-
-
"368,216"
"349,653"
"232,275"
"192,764"
"164,326"
"133,247"
"152,571"
"118,679"
"124,800"
"56,065"
"69,919"
"58,686"
"71,071"
"161,037"
"159,072"
"136,682"
"116,140"

















5
5
5
5
5
5
5
5
5
5
4
4
4
"4,884"
"4,884"
"5,000"
"18,660"
"1,848,500"
"1,443,867"
"1,094,108"
"833,356"
"591,202"
"390,757"
"234,977"
"122,833"
"5,567"
"-48,424"
"-53,843"
"-90,497"
"-120,392"
"-149,625"
"-157,052"
-
-
"-162,896"
"-77,344"
"-178,583"
"-181,482"
"-112,263"
"-1,701"
"-3,094"
"-12,100"
968
"11,106"
"8,794"
"15,167"
"7,860"
"3,208"
"6,869"
-
-
"2,205,548"
"2,022,322"
"1,557,558"
"1,259,528"
"1,046,561"
"927,969"
"742,927"
"443,323"
"316,758"
"256,430"
"238,172"
"200,180"
"158,594"
"-46,504"
"-49,038"
"-19,516"
"12,090"
"2,574,450"
"2,371,975"
"1,789,999"
"1,453,429"
"1,210,887"
"1,061,216"
"895,498"
"608,412"
"441,761"
"312,636"
"313,218"
"263,321"
"232,492"
"115,481"
"110,545"
"117,166"
"128,230"
