Column 1
ttm
9/29/2018
9/29/2017
9/29/2016
9/29/2015
9/29/2014
9/29/2013
9/29/2012
9/29/2011
9/29/2010
9/29/2009
9/29/2008
9/29/2007
9/29/2006
9/29/2005
9/29/2004
9/29/2003
9/29/2002
9/29/2001
9/29/2000
9/29/1999
9/29/1998
9/29/1997
9/29/1996
9/29/1995
9/29/1994
9/29/1993
9/29/1992
9/29/1991
9/29/1990
9/29/1989
9/29/1988
9/29/1987
9/29/1986
9/29/1985
"16,741,735"
"14,984,646"
"10,022,788"
"10,964,157"
"12,114,832"
"12,695,157"
"11,818,376"
"10,893,778"
"10,381,664"
"9,915,517"
"11,467,376"
"11,252,159"
"8,473,970"
"7,421,270"
"5,635,001"
"4,594,235"
"4,615,601"
"4,555,661"
"3,956,993"
"3,418,942"
"2,875,000"
"2,101,100"
"1,780,600"
"1,799,000"
"1,723,100"
"1,165,800"
"1,142,900"
"1,106,400"
"1,036,300"
"881,800"
"793,600"
"757,400"
"320,300"
"207,600"
"220,500"
"13,654,189"
"12,156,276"
"8,250,536"
"9,196,326"
"10,146,494"
"10,621,373"
"9,976,057"
"9,166,789"
"8,822,171"
"8,582,912"
"9,906,493"
"9,517,673"
"7,262,621"
"6,487,022"
"4,828,697"
"3,929,560"
"3,989,714"
"3,971,984"
"3,452,320"
"2,943,149"
"2,446,100"
"1,807,600"
"1,528,100"
"1,573,600"
"1,519,600"
"1,013,400"
"986,500"
"979,300"
"918,700"
"787,800"
"717,800"
"695,200"
"281,100"
"173,200"
"183,400"
"3,087,546"
"2,828,370"
"1,772,252"
"1,767,831"
"1,968,338"
"2,073,784"
"1,842,319"
"1,726,989"
"1,559,493"
"1,332,605"
"1,560,883"
"1,734,486"
"1,211,349"
"934,248"
"806,304"
"664,675"
"625,887"
"583,677"
"504,673"
"475,793"
"428,900"
"293,500"
"252,500"
"225,400"
"203,500"
"152,400"
"156,400"
"127,100"
"117,600"
"94,000"
"75,800"
"62,200"
"39,200"
"34,400"
"37,100"



































-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"2,360,408"
"2,180,399"
"1,379,983"
"1,429,233"
"1,522,811"
"1,545,716"
"1,173,340"
"1,130,916"
"1,040,575"
"932,522"
"940,310"
"1,091,427"
"769,393"
"632,692"
"564,830"
"466,409"
"428,772"
"411,307"
"360,821"
"311,082"
"289,000"
"184,000"
"160,200"
"143,500"
"136,600"
"109,600"
"101,500"
"80,900"
"78,400"
"66,700"
"57,000"
"49,000"
"32,900"
"29,100"
"31,100"
"2,360,408"
"2,180,399"
"1,379,983"
"1,429,233"
"1,522,811"
"1,545,716"
"1,173,340"
"1,130,916"
"1,040,575"
"932,522"
"940,310"
"1,091,427"
"769,393"
"632,692"
"564,830"
"466,409"
"428,772"
"411,307"
"360,821"
"351,180"
"320,600"
"207,000"
"179,000"
"160,800"
"150,800"
"120,600"
"110,300"
"88,600"
"85,300"
"72,200"
"61,100"
"52,200"
"35,100"
"31,800"
"34,300"
"727,138"
"647,971"
"392,269"
"338,598"
"445,527"
"528,068"
"668,979"
"596,073"
"518,918"
"400,083"
"620,573"
"643,059"
"441,956"
"301,556"
"241,474"
"198,266"
"197,115"
"172,370"
"143,852"
"124,613"
"108,300"
"86,500"
"73,500"
"64,600"
"52,700"
"31,800"
"46,100"
"38,500"
"32,300"
"21,800"
"14,700"
"10,000"
"4,100"
"2,600"
"2,800"
"100,380"
"76,760"
"12,035"
"15,260"
"19,503"
"11,437"
"12,906"
"11,686"
"8,799"
"9,874"
"2,916"
"4,414"
"8,019"
"7,496"
"6,471"
"3,565"
"3,252"
"7,496"
"11,705"
"11,420"
"8,800"
-
-
-
-
-
-
-
-
-
-
-
"1,300"
600
-
"27,526"
"-25,490"
"4,235"
"-44,463"
"-3,149"
"15,842"
80
"2,900"
"1,625"
"-3,066"
"-6,029"
"3,319"
"-5,059"
"-3,982"
"-3,293"
658
"1,720"
"1,521"
"2,341"
"-35,832"
"2,000"
"2,300"
"3,900"
"2,200"
700
-500
"3,300"
"7,400"
"2,800"
"3,000"
"2,900"
"1,000"
"3,600"
-400
800
"663,544"
"554,705"
"393,217"
"286,723"
"430,137"
"542,166"
"661,548"
"593,336"
"516,661"
"391,934"
"624,773"
"657,411"
"448,642"
"305,287"
"236,059"
"198,424"
"196,939"
"168,754"
"138,206"
"81,322"
"104,500"
"88,800"
"77,500"
"66,900"
"53,300"
"31,400"
"49,400"
"45,900"
"35,100"
"24,800"
"17,600"
"11,000"
"6,500"
"1,600"
"3,600"
"284,162"
"366,563"
"105,842"
"72,208"
"101,255"
"190,054"
"221,366"
"202,382"
"181,440"
"145,647"
"224,919"
"236,669"
"161,512"
"108,404"
"85,039"
"69,449"
"68,929"
"59,064"
"50,446"
"30,341"
"39,100"
"34,400"
"30,600"
"26,500"
"21,100"
"12,600"
"20,700"
"19,300"
"14,700"
"10,400"
"7,400"
"4,400"
"3,000"
700
"1,600"
"379,382"
"188,142"
"287,375"
"214,515"
"328,882"
"352,112"
"440,182"
"390,954"
"335,221"
"246,287"
"399,854"
"420,742"
"287,130"
"196,883"
"151,020"
"128,975"
"128,010"
"109,690"
"87,760"
"50,981"
"65,400"
"54,400"
"46,900"
"40,400"
"32,200"
"18,800"
"28,700"
"26,600"
"20,400"
"14,400"
"10,200"
"6,600"
"3,500"
900
"2,000"
"668,113"
"178,431"
"293,727"
"210,463"
"302,971"
"328,108"
"423,093"
"378,954"
"331,029"
"245,974"
"399,854"
"420,742"
"287,130"
"196,883"
"151,020"
"128,975"
"128,010"
"109,690"
"87,760"
"50,981"
"65,400"
"54,400"
"46,900"
"40,400"
"32,200"
"18,800"
"28,700"
"26,600"
"20,400"
"14,400"
"10,200"
"6,600"
"3,500"
900
"2,000"
"667,059"
"177,603"
"290,650"
"210,463"
"302,971"
"328,108"
"423,093"
"378,954"
"331,029"
"245,974"
"399,854"
"420,742"
"287,130"
"196,883"
"151,020"
"128,975"
"128,010"
"109,690"
"87,760"
"50,981"
"65,400"
"54,400"
"46,900"
"40,400"
"32,200"
"18,800"
"28,700"
"26,600"
"20,400"
"14,400"
"10,200"
"6,600"
"3,500"
900
"2,000"



































-
1.29
2.43
1.75
2.42
2.51
3.27
2.97
2.63
1.98
3.26
3.47
2.42
1.69
1.32
1.15
1.16
1.01
0.82
0.49
0.64
0.53
0.45
0.39
0.32
0.19
0.29
0.28
0.21
0.16
0.12
0.09
0.05
0.01
0.03
-
1.28
2.42
1.73
2.40
2.48
3.23
2.94
2.60
1.96
3.21
3.38
2.35
1.64
1.28
1.12
1.14
0.99
0.81
0.48
0.62
0.52
0.45
0.39
0.32
0.19
0.29
0.28
0.21
0.16
0.12
0.09
0.05
0.01
0.03



































-
"137,536"
"119,370"
"120,133"
"125,007"
"130,483"
"129,288"
"127,644"
"125,686"
"124,134"
"122,772"
"121,251"
"118,649"
"116,499"
"113,977"
"112,152"
"110,353"
"108,069"
"106,376"
"104,576"
"102,992"
"102,642"
"104,222"
"103,590"
"101,417"
"100,267"
"99,826"
"95,856"
"94,884"
"90,000"
"85,000"
"77,647"
"73,684"
"72,000"
"72,727"
-
"138,712"
"120,147"
"121,483"
"126,110"
"132,371"
"130,945"
"128,692"
"127,235"
"125,790"
"124,534"
"124,480"
"122,183"
"120,418"
"117,525"
"114,644"
"112,784"
"110,798"
"109,019"
"105,660"
"105,911"
"104,615"
"104,222"
"103,652"
"101,417"
"100,690"
"99,826"
"95,856"
"94,884"
"90,000"
"85,000"
"77,647"
"73,684"
"72,000"
"72,727"
-
"631,465"
"527,765"
"431,954"
"449,640"
"553,603"
"674,454"
"605,022"
"525,460"
"401,808"
"627,689"
"716,185"
"497,626"
"349,818"
"289,009"
"232,420"
"232,465"
"207,457"
"182,792"
"164,711"
"139,900"
"109,500"
"92,300"
"81,900"
"66,900"
"42,800"
"54,900"
"46,200"
"39,200"
"27,300"
"18,800"
"13,200"
"6,300"
"5,300"
"6,000"
