Column 1
ttm
11/30/2018
11/30/2017
11/30/2016
11/30/2015
11/30/2014
11/30/2013
11/30/2012
11/30/2011
11/30/2010
11/30/2009
11/30/2008
11/30/2007
11/30/2006
11/30/2005
11/30/2004
11/30/2003
11/30/2002
11/30/2001
11/30/2000
11/30/1999
11/30/1998
11/30/1997
11/30/1996
11/30/1995
11/30/1994
11/30/1993
11/30/1992
11/30/1991
11/30/1990
11/30/1989
11/30/1988
11/30/1987
11/30/1986
11/30/1985



































"1,970,896"
"1,695,831"
"810,480"
"911,844"
"802,894"
"638,916"
"479,674"
"679,124"
"92,199"
"95,261"
"-417,147"
"-1,109,085"
"-1,941,081"
"593,869"
"1,355,155"
"945,619"
"751,391"
"545,129"
"417,845"
"229,137"
"172,700"
"144,100"
"84,400"
"88,000"
"70,400"
"69,200"
"52,500"
"29,100"
"21,100"
"13,700"
"28,100"
"27,600"
"23,000"
"12,500"
"11,700"
-
"91,181"
"66,324"
"50,219"
"43,666"
"38,542"
"30,349"
"28,081"
"21,500"
"13,520"
"19,905"
"32,399"
"56,764"
"50,011"
"79,558"
"73,286"
"75,911"
"72,389"
"68,670"
"58,531"
"47,700"
"24,400"
"9,000"
"12,000"
"10,300"
"8,400"
"10,000"
"10,600"
"7,300"
"6,500"
-
-
-
-
-
-
"268,037"
"91,050"
"97,485"
"-5,637"
"75,324"
"151,619"
"-467,561"
-
0
0
"772,508"
"-438,817"
"-198,005"
"10,220"
"81,539"
"-51,143"
"-5,672"
"9,769"
"-17,223"
"28,100"
"12,500"
"-30,100"
"-16,100"
"-8,200"
"-9,300"
"-2,300"
"-5,200"
"-5,000"
"-7,400"
"-4,600"
-
-
-
-
-
"72,655"
"61,356"
"55,516"
"43,873"
"40,718"
"33,689"
"31,745"
"24,047"
"28,075"
"30,392"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-169,254"
"-187,359"
"-685,063"
"-1,313,566"
"-1,582,612"
"-1,485,294"
"-751,668"
"-448,472"
"73,611"
"210,500"
"870,122"
"-331,764"
"-621,461"
"-1,311,883"
"-750,100"
"-124,374"
"-375,355"
"-422,187"
"222,294"
"-107,700"
"-86,900"
"-130,600"
"-36,800"
"-38,700"
"-51,800"
"-71,300"
"-42,600"
"7,300"
"31,800"
"1,500"
-
-
-
-
-
"-431,183"
"253,111"
"-260,844"
"-86,432"
"-113,001"
"-62,708"
"17,370"
-
-
-
-
-
-
-
