Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993
12/31/1992
12/31/1991
"10,765,549"
"9,493,849"
"8,777,845"
"8,496,401"
"8,299,074"
"8,073,855"
"7,959,894"
"7,688,024"
"7,537,263"
"6,752,504"
"5,889,826"
"6,532,525"
"6,149,139"
"5,229,584"
"4,903,174"
"4,555,375"
"3,784,249"
"3,434,347"
"3,145,250"
"2,865,846"
"2,546,152"
"2,636,291"
"1,939,000"
"1,357,300"
"1,184,000"
"1,171,400"
"1,112,800"
"1,012,800"
"759,600"
"5,941,659"
"5,262,207"
"4,896,579"
"5,015,539"
"5,099,393"
"5,306,281"
"5,305,270"
"5,157,434"
"4,942,607"
"4,458,076"
"4,071,102"
"3,373,049"
"3,981,698"
"3,249,629"
"2,994,232"
"2,819,383"
"2,381,035"
"2,113,217"
"1,934,391"
"1,652,459"
"1,496,252"
"1,593,728"
"1,219,300"
"854,500"
"742,500"
"728,800"
"696,400"
"635,700"
"488,500"
"4,823,890"
"4,231,642"
"3,881,266"
"3,480,862"
"3,199,681"
"2,767,574"
"2,654,624"
"2,530,590"
"2,594,656"
"2,294,428"
"1,818,724"
"3,159,476"
"2,167,441"
"1,979,955"
"1,908,942"
"1,735,992"
"1,403,214"
"1,321,130"
"1,210,859"
"1,213,387"
"1,049,900"
"1,042,563"
"719,700"
"502,800"
"441,500"
"442,600"
"416,400"
"377,100"
"271,100"





























-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"1,472,239"
"1,303,144"
"1,186,016"
"1,100,290"
"1,086,504"
"1,048,952"
"1,044,819"
"1,011,543"
"960,602"
"848,079"
"761,999"
"776,522"
"783,040"
"699,864"
"635,308"
"588,267"
"514,334"
"431,055"
"454,080"
"412,799"
"371,817"
"359,214"
"272,400"
"194,600"
"177,500"
"179,100"
"168,400"
"160,800"
"149,300"
"2,676,587"
"2,336,841"
"2,137,210"
"1,995,205"
"1,913,512"
"1,821,397"
"1,799,530"
"1,742,036"
"1,663,028"
"1,491,795"
"1,330,213"
"2,327,492"
"1,266,106"
"1,121,509"
"1,037,377"
"982,403"
"877,029"
"770,155"
"755,254"
"643,847"
"569,726"
"553,828"
"1,635,500"
"1,140,300"
"1,000,100"
"985,800"
"254,900"
"238,800"
"206,900"
"2,147,303"
"1,894,801"
"1,744,056"
"1,485,657"
"1,286,169"
"946,177"
"855,094"
"788,554"
"931,628"
"802,633"
"488,511"
"831,984"
"901,335"
"858,446"
"871,565"
"753,589"
"526,185"
"550,975"
"455,605"
"569,540"
"480,174"
"488,735"
"-915,800"
"-637,500"
"-558,600"
"-543,200"
"161,500"
"138,300"
"64,200"
"411,177"
"333,672"
"299,982"
"307,370"
"277,725"
"258,299"
"332,422"
"355,785"
"382,416"
"339,393"
"300,012"
"327,312"
"333,784"
"267,861"
"269,750"
"309,977"
"268,398"
"266,842"
"253,207"
"154,328"
"130,625"
"167,869"
"128,500"
"76,500"
"54,800"
"43,300"
"54,400"
"82,200"
"59,000"
"183,564"
"221,863"
"150,958"
"84,245"
"-354,686"
"65,924"
"-62,878"
"-435,813"
"32,891"
"74,984"
"-33,094"
"54,934"
"15,829"
"28,099"
"52,521"
"21,871"
"18,358"
"54,738"
"27,515"
"22,229"
"26,122"
"-6,008"
"3,000"
"8,100"
"18,900"
-900
-400
"4,500"
-800
"1,947,579"
"1,815,792"
"1,625,133"
"1,283,388"
"665,783"
"764,146"
"473,692"
"18,287"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"1,947,579"
"1,815,792"
"1,625,133"
"1,283,388"
"665,783"
"764,146"
"473,692"
"18,287"
"607,421"
"547,467"
"162,421"
"573,722"
"603,405"
"633,922"
"663,465"
"474,691"
"280,664"
"351,284"
"254,457"
"445,363"
"383,853"
"330,700"
"182,700"
"150,900"
"149,000"
"142,300"
"106,700"
"60,600"
"4,300"
"1,921,454"
"1,811,042"
"1,625,133"
"1,283,388"
"665,783"
"764,146"
"473,692"
"18,287"
"607,421"
"547,467"
"162,421"
"573,722"
"603,405"
"633,922"
"715,956"
"474,691"
"280,664"
"351,284"
"254,457"
"445,363"
"383,853"
"330,700"
"175,100"
"150,900"
"149,000"
"136,600"
"106,700"
"60,600"
"4,300"
"1,921,454"
"1,811,042"
"1,625,133"
"1,283,388"
"665,783"
"764,146"
"473,692"
"18,287"
"607,421"
"547,467"
"162,421"
"573,722"
"603,405"
"633,922"
"715,956"
"474,691"
"280,664"
"351,284"
"254,457"
"445,363"
"383,853"
"330,700"
"175,100"
"150,900"
"149,000"
"136,600"
"106,700"
"60,600"
"4,300"





























-
8.60
7.57
5.96
3.03
3.45
2.16
0.08
2.80
2.55
0.76
2.69
2.84
3.01
3.47
2.39
1.45
1.82
1.32
2.34
2.15
1.90
1.16
1.19
1.18
1.08
0.90
0.59
0.04
-
8.56
7.53
5.93
3.02
3.43
2.14
0.08
2.77
2.51
0.75
2.68
2.82
2.94
3.26
2.26
1.42
1.79
1.32
2.31
2.06
1.83
1.14
1.18
1.17
1.08
0.90
0.59
0.04





























-
"210,570"
"214,617"
"215,393"
"219,537"
"221,658"
"219,638"
"217,930"
"216,983"
"215,026"
"213,809"
"213,477"
"212,467"
"210,605"
"206,327"
"198,615"
"193,561"
"193,013"
"192,770"
"190,326"
"178,536"
"174,053"
"150,948"
"126,807"
"126,271"
"126,481"
"118,556"
"102,712"
"107,500"
-
"211,554"
"215,694"
"216,316"
"220,689"
"223,044"
"220,941"
"219,457"
"219,229"
"217,711"
"215,295"
"214,195"
"213,973"
"215,620"
"219,618"
"210,040"
"197,651"
"196,248"
"192,770"
"192,798"
"186,336"
"180,710"
"153,596"
"127,881"
"127,350"
"126,481"
"118,556"
"102,712"
"107,500"
-
"3,183,161"
"2,876,309"
"2,485,673"
"1,770,516"
"1,794,890"
"1,560,825"
"1,104,565"
"1,634,054"
"1,446,349"
"1,056,725"
"1,352,337"
"1,384,401"
"1,280,091"
"1,273,634"
"1,147,725"
"888,880"
"890,075"
"756,779"
"800,588"
"678,083"
"683,349"
"-772,000"
"-546,300"
"-478,500"
"-465,300"
"248,000"
"216,300"
"121,800"
