Column 1
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996





































































"656,095"
"635,067"
"481,922"
"283,658"
"437,474"
"611,382"
"537,050"
"448,651"
"258,408"
"247,598"
"205,694"
"250,567"
"249,868"
"107,275"
"184,930"
"184,859"
"208,830"
"71,878"
"76,823"
"62,227"
-
-
-
"240,987"
"509,682"
"431,478"
"1,795,455"
"1,705,932"
"1,214,199"
"860,379"
"685,332"
"785,279"
"673,131"
"1,889,799"
"2,225,708"
"1,306,498"
"1,443,751"
"585,875"
"151,853"
"169,116"
"148,851"
"398,542"
"73,558"
-
-
-
"897,082"
"1,144,749"
"913,400"
"2,079,113"
"2,143,406"
"1,825,581"
"1,397,429"
"1,133,983"
"1,043,687"
"673,131"
"2,095,493"
"2,476,275"
"1,556,366"
"1,551,026"
"770,805"
"336,712"
"377,946"
"220,729"
"475,365"
"135,785"
-
-
-
"4,005,931"
"3,193,107"
"2,504,315"
"2,319,713"
"2,068,837"
"1,993,997"
"1,896,940"
"1,077,548"
"844,832"
"978,847"
"908,110"
"989,921"
"1,136,787"
"1,188,866"
"1,314,160"
"1,047,856"
"673,377"
"468,897"
"394,137"
"294,941"
"261,500"
"256,200"
"218,100"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-














































-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"16,185,226"
"16,359,618"
"15,668,038"
"16,601,524"
"16,396,538"
"15,476,654"
"15,442,556"
"14,790,498"
"14,501,415"
"14,125,934"
"12,829,230"
"14,031,250"
"13,240,026"
"12,576,710"
"11,183,918"
"9,026,624"
"6,996,447"
"5,677,746"
"5,386,926"
"4,049,529"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"24,793,999"
"23,591,792"
"21,321,504"
"21,426,175"
"20,817,824"
"19,808,036"
"19,777,907"
"18,893,555"
"18,407,971"
"18,001,312"
"16,846,590"
"17,999,482"
"17,107,570"
"16,474,539"
"15,072,766"
"12,682,977"
"9,864,603"
"7,796,160"
"7,013,095"
"5,704,302"
"5,996,700"
"5,538,000"
"5,039,400"





































































"396,954"
-
-
-
0
"332,631"
-
0
"50,000"
-
-
-
-
-
-
"70,000"
"70,000"
"105,000"
"235,000"
"59,000"
-
-
-
"218,439"
"218,017"
"190,986"
"166,822"
"139,841"
"116,387"
"162,778"
"51,564"
"47,519"
"53,014"
"51,138"
"68,494"
"4,481"
"50,354"
"47,462"
"4,729"
"77,940"
"96,921"
"52,355"
"8,742"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
"43,002"
0
"31,854"
"41,308"
"-16,696"
"-30,459"
"-8,209"
"-4,475"
-
-
-
"3,093"
"2,727"
"3,537"
"3,537"
"3,537"
"4,781"
"4,781"
"4,781"
"4,793"
"9,885"
"11,217"
"11,217"
"10,041"
"10,041"
"16,426"
"13,632"
"13,481"
"11,944"
"12,212"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-























"236,659"
"633,395"
"633,176"
"638,368"
"638,364"
"820,950"
"818,161"
"488,212"
"329,897"
"1,017,984"
"1,179,089"
"1,178,910"
"995,605"
"995,456"
"1,245,294"
"449,119"
"448,938"
"448,771"
"448,619"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"16,890,195"
"15,222,560"
"13,246,108"
"13,817,590"
"13,366,704"
"12,839,760"
"13,044,440"
"12,822,180"
"12,124,454"
"11,899,590"
"11,886,235"
"12,314,712"
"11,999,883"
"12,334,845"
"11,360,248"
"9,518,077"
"7,495,957"
"6,075,638"
"5,429,743"
"4,376,820"
"4,517,500"
"4,230,500"
"3,953,400"























692
691
689
686
683
680
671
665
660
658
656
654
650
646
566
561
513
463
460
509
-
-
-
"9,574,440"
"9,684,658"
"9,422,932"
"8,621,972"
"7,819,210"
"6,765,967"
"5,613,266"
"4,884,714"
"5,069,048"
"4,566,771"
"3,819,327"
"3,956,701"
"2,987,998"
"2,186,156"
"2,430,248"
"1,957,811"
"1,551,360"
"1,336,404"
"1,250,313"
"1,074,941"
"928,500"
"773,400"
"626,500"
"-462,557"
"-159,641"
"-216,764"
"-231,755"
"48,317"
"157,728"
"537,049"
"366,978"
"332,258"
"272,038"
"-291,851"
"163,155"
"348,543"
"221,146"
"328,737"
"280,077"
"221,542"
-
-
-
-
-
-
"7,903,804"
"8,369,232"
"8,075,396"
"7,608,585"
"7,451,120"
"6,968,276"
"6,733,467"
"6,071,375"
"6,283,517"
"6,101,722"
"4,960,355"
"5,684,770"
"5,107,687"
"4,139,694"
"3,712,518"
"3,164,900"
"2,368,646"
"1,720,522"
"1,583,352"
"1,327,482"
"1,479,200"
"1,307,500"
"1,086,000"
"24,793,999"
"23,591,792"
"21,321,504"
"21,426,175"
"20,817,824"
"19,808,036"
"19,777,907"
"18,893,555"
"18,407,971"
"18,001,312"
"16,846,590"
"17,999,482"
"17,107,570"
"16,474,539"
"15,072,766"
"12,682,977"
"9,864,603"
"7,796,160"
"7,013,095"
"5,704,302"
"5,996,700"
"5,538,000"
"5,039,400"
