Column 1
ttm
1/31/2019
1/31/2018
1/31/2017
1/31/2016
1/31/2015
1/31/2014
1/31/2013
1/31/2012
1/31/2011
1/31/2010
1/31/2009
1/31/2008
1/31/2007
1/31/2006
1/31/2005
1/31/2004
1/31/2003
1/31/2002
1/31/2001
1/31/2000
1/31/1999
1/31/1998
1/31/1997
1/31/1996
1/31/1995
1/31/1994
1/31/1993
1/31/1992
1/31/1991
1/31/1990
1/31/1989
1/31/1988
1/31/1987
1/31/1986
"15,433,507"
"14,983,541"
"14,134,732"
"12,866,757"
"11,939,999"
"11,041,677"
"10,230,353"
"9,721,065"
"8,608,291"
"7,866,100"
"7,184,213"
"6,486,139"
"5,975,212"
"5,570,210"
"4,944,179"
"4,239,990"
"3,920,583"
"3,531,349"
"2,986,596"
"2,709,039"
"2,468,638"
"2,182,400"
"1,988,700"
"1,689,800"
"1,426,400"
"1,262,500"
"1,122,000"
"1,043,100"
"926,400"
"798,400"
"733,500"
"626,400"
"576,000"
"527,500"
"375,900"
"11,082,593"
"10,726,277"
"10,042,638"
"9,173,705"
"8,576,873"
"7,937,956"
"7,360,924"
"7,011,428"
"6,240,760"
"5,729,735"
"5,327,278"
"4,956,576"
"4,618,220"
"4,317,527"
"3,832,296"
"3,279,877"
"2,917,935"
"2,628,412"
"2,070,459"
"1,862,598"
"1,692,472"
"1,504,200"
"1,379,600"
"1,187,500"
"1,026,500"
"915,300"
"805,600"
"742,700"
"656,500"
"568,900"
"508,800"
"438,000"
"408,700"
"403,300"
"269,300"
"4,350,914"
"4,257,264"
"4,092,094"
"3,693,052"
"3,363,126"
"3,103,721"
"2,869,429"
"2,709,637"
"2,367,531"
"2,136,365"
"1,856,935"
"1,529,563"
"1,356,992"
"1,252,683"
"1,111,883"
"960,113"
"1,002,648"
"902,937"
"916,137"
"846,441"
"776,166"
"678,200"
"609,100"
"502,300"
"399,900"
"347,200"
"316,400"
"300,400"
"269,900"
"229,500"
"224,700"
"188,400"
"167,300"
"124,200"
"106,600"



































-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"2,287,766"
"2,216,550"
"2,043,698"
"1,890,408"
"1,738,755"
"1,615,371"
"1,526,366"
"1,437,886"
"1,304,065"
"1,229,775"
"1,130,813"
"1,034,357"
"935,901"
"863,033"
"786,439"
"664,395"
"628,359"
"572,316"
"608,483"
"538,726"
"472,822"
"415,300"
"374,100"
"332,400"
"293,100"
"263,800"
"235,600"
"222,100"
"203,400"
"183,600"
"159,500"
"137,000"
"122,200"
"114,500"
"88,200"
"2,287,766"
"2,216,550"
"2,043,698"
"1,890,408"
"1,738,755"
"1,615,371"
"1,526,366"
"1,437,886"
"1,304,065"
"1,229,775"
"1,130,813"
"1,034,357"
"935,901"
"863,033"
"786,439"
"664,395"
"628,359"
"572,316"
"658,380"
"593,789"
"521,009"
"458,500"
"413,600"
"367,800"
"325,100"
"292,800"
"265,200"
"240,800"
"219,300"
"196,700"
"171,500"
"148,300"
"130,900"
"123,000"
"93,800"
"2,063,148"
"2,040,714"
"2,048,396"
"1,802,644"
"1,624,371"
"1,488,350"
"1,343,063"
"1,271,751"
"1,063,466"
"906,590"
"726,122"
"495,206"
"421,091"
"389,650"
"325,444"
"295,718"
"374,289"
"330,621"
"257,757"
"252,652"
"255,157"
"219,700"
"195,500"
"134,500"
"74,800"
"54,400"
"51,200"
"59,600"
"50,600"
"32,800"
"53,200"
"40,100"
"36,400"
"1,200"
"12,800"
"12,936"
"16,407"
"18,847"
"19,569"
"13,290"
"3,395"
300
"7,500"
"11,000"
"9,569"
"9,400"
"8,343"
"9,800"
-
-
915
-
279
"3,168"
"3,466"
-
300
-
-
"2,700"
"3,500"
"2,300"
"3,100"
"5,400"
"8,000"
"6,700"
"4,000"
"7,100"
"7,900"
"3,400"
-
-
0
0
0
0
0
0
0
"9,569"
"7,593"
0
0
0
0
"-15,818"
0
0
0
0
"-9,000"
0
300
400
0
"10,400"
-100
300
300
500
700
800
"-10,400"
"-45,600"
"1,500"
"2,081,831"
"2,050,876"
"2,040,720"
"1,786,156"
"1,611,759"
"1,485,366"
"1,343,310"
"1,264,844"
"1,053,144"
"897,021"
"718,529"
"495,363"
"425,120"
"398,277"
"328,342"
"278,985"
"374,551"
"330,342"
"254,589"
"249,186"
"246,479"
"219,400"
"195,800"
"134,800"
"72,100"
"61,300"
"48,800"
"56,700"
"45,400"
"25,200"
"47,200"
"37,000"
"18,900"
"-45,400"
"11,000"
"468,167"
"463,419"
"677,967"
"668,502"
"591,098"
"560,642"
"506,006"
"478,081"
"395,974"
"342,224"
"275,772"
"189,922"
"164,069"
"156,643"
"128,710"
"109,083"
"146,449"
"129,164"
"99,544"
"97,432"
"96,373"
"85,600"
"78,300"
"53,900"
"28,800"
"24,500"
"19,500"
"22,700"
"17,700"
"8,600"
"17,400"
"10,700"
"7,400"
"-4,000"
"3,900"
"1,613,664"
"1,587,457"
"1,362,753"
"1,117,654"
"1,020,661"
"924,724"
"837,304"
"786,763"
"657,170"
"554,797"
"442,757"
"305,441"
"261,051"
"241,634"
"199,632"
"169,902"
"228,102"
"201,178"
"155,045"
"151,754"
"150,106"
"133,800"
"117,500"
"80,900"
"43,300"
"36,800"
"29,300"
"34,000"
"27,700"
"16,600"
"29,800"
"26,300"
"11,500"
"-41,400"
"7,100"
"1,613,664"
"1,587,457"
"1,362,753"
"1,117,654"
"1,020,661"
"924,724"
"837,304"
"786,763"
"657,170"
"554,797"
"442,757"
"305,441"
"261,051"
"241,634"
"199,632"
"169,902"
"228,102"
"201,178"
"155,045"
"151,754"
"150,106"
"133,800"
"117,500"
"80,900"
"43,300"
"36,800"
"29,300"
"34,000"
"27,700"
"16,600"
"29,800"
"26,300"
"11,500"
"-41,400"
"7,100"
"1,613,664"
"1,587,457"
"1,362,753"
"1,117,654"
"1,020,661"
"924,724"
"837,304"
"786,763"
"657,170"
"554,797"
"442,757"
"305,441"
"261,051"
"241,634"
"199,632"
"169,902"
"228,102"
"201,178"
"155,045"
"151,754"
"150,106"
"133,800"
"117,500"
"80,900"
"43,300"
"36,800"
"29,300"
"34,000"
"27,700"
"16,600"
"29,800"
"26,300"
"11,500"
"-41,400"
"7,100"



































-
4.30
3.58
2.85
2.53
2.23
1.97
1.79
1.46
1.18
0.90
0.59
0.48
0.43
0.34
0.29
0.38
0.32
0.24
0.23
0.21
0.18
0.15
0.10
0.06
0.05
0.04
0.04
0.04
0.02
0.04
0.03
0.01
-0.05
0.01
-
4.26
3.55
2.83
2.51
2.21
1.94
1.76
1.43
1.16
0.89
0.58
0.47
0.42
0.34
0.28
0.37
0.32
0.24
0.23
0.20
0.17
0.15
0.10
0.06
0.05
0.04
0.04
0.04
0.02
0.04
0.03
0.01
-0.05
0.01



































-
"369,533"
"381,174"
"392,124"
"403,034"
"413,554"
"425,762"
"438,260"
"451,830"
"471,284"
"491,548"
"516,940"
"540,372"
"557,952"
"577,300"
"589,872"
"608,660"
"624,984"
"639,088"
"660,952"
"723,328"
"748,531"
"782,848"
"799,012"
"787,273"
"774,737"
"808,276"
"824,242"
"764,138"
"737,778"
"745,000"
"841,600"
"836,364"
"807,805"
"710,000"
-
"372,678"
"384,329"
"394,958"
"406,405"
"418,078"
"431,610"
"445,568"
"459,964"
"479,608"
"500,056"
"525,260"
"548,568"
"567,532"
"586,128"
"601,520"
"620,604"
"637,968"
"649,680"
"666,696"
"733,368"
"764,571"
"800,032"
"819,241"
"787,273"
"774,737"
"808,276"
"824,242"
"791,429"
"737,778"
"769,032"
"841,600"
"836,364"
"807,805"
"710,000"
-
"2,371,071"
"2,372,730"
"2,108,240"
"1,899,199"
"1,721,309"
"1,549,174"
"1,457,242"
"1,223,358"
"1,067,283"
"885,165"
"645,508"
"541,790"
"497,785"
"436,292"
"390,311"
"451,028"
"396,797"
"320,378"
"307,715"
"303,344"
"262,900"
"235,000"
"169,900"
"106,800"
"83,400"
"80,800"
"78,300"
"66,500"
"45,900"
"65,200"
"51,400"
"45,100"
"9,700"
"18,400"
