Column 1
ttm
1/31/2019
1/31/2018
1/31/2017
1/31/2016
1/31/2015
1/31/2014
1/31/2013
1/31/2012
1/31/2011
1/31/2010
1/31/2009
1/31/2008
1/31/2007
1/31/2006
1/31/2005
1/31/2004
1/31/2003
1/31/2002
1/31/2001
1/31/2000
1/31/1999
1/31/1998
1/31/1997
1/31/1996
1/31/1995
1/31/1994
1/31/1993
1/31/1992
1/31/1991
1/31/1990
1/31/1989
1/31/1988
1/31/1987
1/31/1986



































"1,613,664"
"1,587,457"
"1,362,753"
"1,117,654"
"1,020,661"
"924,724"
"837,304"
"786,763"
"657,170"
"554,797"
"442,757"
"305,441"
"261,051"
"241,634"
"199,632"
"169,902"
"228,102"
"201,178"
"155,045"
"151,754"
"150,106"
"133,800"
"117,500"
"80,900"
"43,300"
"36,800"
"29,300"
"34,000"
"27,700"
"16,600"
"29,800"
"26,300"
"11,500"
"-41,400"
"7,100"
"334,852"
"330,357"
"313,163"
"302,515"
"274,828"
"232,959"
"206,111"
"185,491"
"159,892"
"160,693"
"159,043"
"141,802"
"120,699"
"108,135"
"110,848"
"94,593"
"76,739"
"66,176"
"62,621"
"55,063"
"48,187"
"43,200"
"39,500"
"35,400"
"32,000"
"29,000"
"29,600"
"18,700"
"15,900"
"13,100"
"12,000"
-
-
-
-
"31,981"
"31,777"
"-34,903"
"14,628"
"98,740"
"54,845"
"12,411"
"-9,039"
"40,762"
"-17,977"
"16,113"
"23,804"
"-10,699"
"-10,684"
"-2,590"
"28,101"
"31,946"
"17,375"
"12,633"
"10,015"
"-5,296"
"-4,400"
"-1,700"
"-7,400"
"-2,900"
900
700
"2,900"
"-2,900"
700
400
-
-
-
-
"92,618"
"95,585"
"87,417"
"74,554"
"70,937"
"53,001"
"46,847"
"48,952"
"40,404"
"36,551"
"25,746"
"22,575"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"62,841"
"21,501"
"-40,824"
"72,831"
"-96,612"
"136,751"
"-53,764"
"-3,420"
"-59,943"
"-61,664"
"243,434"
"87,258"
"-44,052"
"138,611"
"42,837"
"-36,987"
"-41,289"
"39,368"
"12,590"
"-73,484"
"-9,631"
"27,800"
"-37,300"
"7,900"
"10,600"
"-16,600"
"-19,700"
"-20,800"
"1,600"
500
"-28,500"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-137,480"
"-108,707"
"-128,849"
"-93,782"
"-46,429"
"-115,520"
"-47,918"
"-79,167"
"-43,153"
"-214,419"
"8,560"
"144,237"
"26,434"
"-113,638"
"-84,979"
"-11,621"
"-124,973"
"-93,128"
"-63,824"
"-59,071"
"-34,034"
"-47,600"
"-45,100"
"-77,700"
"-20,800"
"1,700"
"-7,900"
"-36,000"
"-27,100"
"-28,500"
"-12,200"
-
-
-
-
"175,525"
"110,483"
"41,322"
"83,085"
"-41,464"
"204,158"
"-4,104"
"40,109"
"-11,614"
"102,851"
"115,893"
"-101,682"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"1,650,379"
"1,652,779"
"1,309,855"
"1,260,971"
"959,292"
"726,174"
"471,488"
"555,210"
"403,834"
"474,415"
"729,897"
"359,021"
"117,438"
"282,912"
"199,340"
"148,616"
"168,777"
"199,279"
"156,887"
"61,234"
"109,354"
"122,000"
"84,600"
"80,000"
"46,300"
"-6,900"
"5,100"
"21,700"
"21,100"
"-3,700"
"-14,200"
0
0
0
0
-
-
"87,417"
"23,331"
"42,382"
"29,759"
"27,661"
"49,838"
"657,170"
"15,412"
"8,582"
"8,532"
"26,560"
"29,171"
"2,517"
"11,928"
"4,719"
"8,348"
-
-
-
100
-100
300
"5,000"
"-4,900"
-
"8,600"
"8,200"
"6,100"
"2,900"
-
-
-
-
"2,135,956"
"2,066,677"
"1,681,278"
"1,558,851"
"1,326,252"
"1,372,865"
"1,022,003"
"979,644"
"820,105"
"673,066"
"888,384"
"583,439"
"353,559"
"506,867"
"375,191"
"298,157"
"315,306"
"332,445"
"242,889"
"143,348"
"183,366"
"200,500"
"117,900"
"117,100"
"88,000"
"45,200"
"39,900"
"43,400"
"52,800"
"37,000"
"16,600"
0
0
0
0



































"-485,577"
"-413,898"
"-371,423"
"-297,880"
"-366,960"
"-646,691"
"-550,515"
"-424,434"
"-416,271"
"-198,651"
"-158,487"
"-224,418"
"-236,121"
"-223,955"
"-175,851"
"-149,541"
"-146,529"
"-133,166"
"-86,002"
"-82,114"
"-74,012"
"-78,500"
"-33,300"
"-37,100"
"-41,700"
"-52,100"
"-34,800"
"-21,700"
"-31,700"
"-40,700"
"-30,800"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
0
-718
0
"-12,012"
"-5,430"
0
"-6,842"
"-2,904"
"-36,984"
"-146,082"
"-71,938"
-
"-67,400"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"3,501"
"3,489"
40
"1,729"
"1,104"
"12,021"
"1,614"
"6,247"
"4,589"
"8,648"
"24,548"
"42,522"
"137,104"
"59,337"
"43,455"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"2,310"
"3,388"
"4,065"
"-4,329"
"-2,895"
"-2,107"
"-60,086"
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
"1,700"
"2,500"
-
-
-
-
"-482,076"
"-410,409"
"-353,092"
"-292,763"
"-362,509"
"-638,999"
"-563,808"
"-425,724"
"-471,768"
"-196,845"
"-136,833"
"-218,763"
"-244,743"
"-235,941"
"-132,396"
"-199,541"
"-146,529"
"-133,166"
"-86,002"
"-82,114"
"-74,012"
"-78,500"
"-33,300"
"-37,100"
"-41,700"
"-52,100"
"-34,800"
"-21,700"
"-31,700"
"-39,000"
"-28,300"
0
0
0
0



































-
"-85,000"
-
-
-
-
-
-
-
-
-
0
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"18,539"
"20,186"
"21,978"
"19,075"
"19,043"
"17,290"
"36,479"
"49,393"
"47,873"
"20,753"
"32,517"
"39,356"
"23,391"
"24,695"
"50,863"
"54,582"
"14,332"
"21,654"
"22,000"
"34,100"
"38,700"
"7,900"
-
"4,600"
"9,700"
"6,600"
"1,000"
"3,800"
-
-
-
-
"-1,242,351"
"-1,129,384"
"-920,433"
"-743,321"
"-768,925"
"-589,041"
"-579,851"
"-479,446"
"-465,854"
"-384,544"
"-306,045"
"-304,909"
"-203,879"
"-203,787"
"-175,000"
"-175,000"
"-150,003"
"-149,997"
"-130,676"
"-169,324"
"-120,000"
"-110,000"
"-98,100"
"-80,400"
"-12,100"
"-12,900"
"-17,600"
-
-
-
"-45,600"
-
-
-
-
"-353,860"
"-337,189"
"-247,526"
"-214,640"
"-192,312"
"-168,454"
"-147,918"
"-125,694"
"-102,042"
"-77,321"
"-55,202"
"-49,838"
"-40,638"
"-33,634"
"-30,715"
"-25,260"
"-17,572"
"-14,847"
"-13,596"
"-12,418"
"-11,762"
"-10,400"
"-8,800"
"-7,000"
"-5,900"
"-4,900"
-
-
-
-
-
-
-
-
-
-
-
0
"23,331"
"42,302"
"29,415"
"26,906"
"29,103"
"18,180"
"14,746"
"7,291"
"5,973"
"5,140"
"9,599"
0
0
0
0
0
0
0
100
-100
0
0
0
0
0
0
0
0
-
-
-
-
"-1,660,010"
"-1,531,461"
"-1,149,491"
"-916,091"
"-898,749"
"-460,426"
"-681,788"
"-556,994"
"-532,426"
"-410,640"
"-304,563"
"-300,901"
"-218,624"
"-95,305"
"-166,359"
"-176,869"
"-117,880"
"-88,981"
"-153,690"
"-103,410"
"-110,108"
"-98,300"
"-73,000"
"-58,600"
"-46,400"
"-1,900"
"-13,300"
"2,400"
"-10,000"
"4,700"
"-32,900"
-
-
-
-
"-6,130"
"124,807"
"178,695"
"349,997"
"64,994"
"273,440"
"-223,593"
"-3,074"
"-184,089"
"65,581"
"446,988"
"63,775"
"-109,808"
"175,621"
"76,436"
"-86,215"
"50,897"
"110,298"
"3,197"
"-42,176"
-754
"23,700"
"11,600"
"21,400"
-200
"-8,700"
"-8,200"
"24,100"
"11,100"
"2,800"
"-44,600"
-
-
-
-
"1,449,531"
"1,353,272"
