Column 1
ttm
10/30/2018
10/30/2017
10/30/2016
10/30/2015
10/30/2014
10/30/2013
10/30/2012
10/30/2011
10/30/2010
10/30/2009
10/30/2008
10/30/2007
10/31/2006
10/31/2005
10/30/2004
10/31/2003
10/31/2002
10/31/2001
10/31/2000
9/29/1999
9/29/1998
9/29/1997
9/29/1996
9/29/1995
9/29/1994
9/29/1993
9/29/1992
9/29/1991
9/29/1990






























"625,981"
"432,518"
"136,563"
"266,826"
"225,934"
"259,124"
"247,800"
"182,402"
"221,364"
"237,063"
"167,681"
"189,978"
"130,491"
"24,742"
"-15,478"
"74,337"
"149,724"
"-199,993"
"56,802"
"97,778"
"161,400"
"91,700"
"72,400"
"23,700"
"30,300"
"15,800"
"13,200"
"7,100"
"3,500"
"4,000"
"211,095"
"209,207"
"189,442"
"207,032"
"211,821"
"192,826"
"187,404"
"156,840"
"128,550"
"101,201"
"101,453"
"97,143"
"105,367"
"114,490"
"175,057"
"192,774"
"184,110"
"116,100"
"65,162"
"63,770"
"52,000"
"44,200"
"30,400"
"18,700"
"15,500"
"12,100"
"7,700"
"5,200"
"3,700"
"1,200"
"-225,483"
"-210,310"
"123,052"
"-14,037"
"15,197"
"-17,100"
-676
"12,850"
"22,278"
"38,356"
"25,942"
"-12,249"
-972
"-25,180"
"-14,647"
"-50,855"
"-30,503"
"-128,167"
"-58,831"
"-37,685"
"-5,100"
"-6,600"
"-20,800"
"-11,900"
-
-
-
-
-
-
"152,318"
"140,032"
"108,294"
"97,583"
"86,400"
"79,440"
"67,511"
"71,414"
"56,414"
"59,988"
"56,934"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-105,024"
"-150,490"
"73,757"
"25,581"
"-41,138"
"44,912"
"-4,568"
"59,006"
"10,589"
"-91,146"
"-126,405"
"1,011"
"129,014"
"26,097"
"128,375"
"27,732"
"2,911"
"-96,280"
"270,247"
"21,773"
"-15,100"
"-11,100"
"-2,700"
"-2,100"
"1,900"
"-4,900"
"12,700"
"1,200"
"-1,700"
200
"35,280"
"-95,785"
"2,296"
"-43,269"
"-56,533"
"-65,018"
"37,590"
"-53,395"
"-18,974"
"-16,202"
"22,830"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-57,500"
"-66,509"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"137,631"
"18,977"
"27,568"
"40,645"
"-1,135"
-
-
"10,566"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"556,669"
"322,306"
"561,011"
"515,595"
"404,513"
"444,040"
"427,637"
"428,575"
"380,086"
"298,961"
"197,108"
"289,345"
"386,189"
"154,483"
"225,627"
"219,032"
"341,386"
"-229,804"
"213,336"
"82,615"
"111,000"
"55,700"
"55,100"
"49,000"
"55,800"
"42,200"
"37,500"
"13,000"
"2,200"
"4,900"
-
-
"108,294"
"100,301"
"82,155"
"79,440"
-868
452
"221,364"
-431
"11,819"
"51,809"
"70,734"
"64,958"
-
-
-
-
"-10,580"
-
100
-
-100
"59,100"
"28,100"
"31,800"
"13,500"
"3,400"
-300
600
"710,015"
"424,232"
"634,565"
"586,635"
"495,160"
"550,953"
"496,705"
"486,068"
"440,316"
"341,036"
"236,708"
"331,088"
"433,478"
"205,890"
"269,190"
"264,037"
"391,534"
"-181,049"
"295,826"
"151,115"
"223,300"
"144,100"
"109,600"
"88,300"
"76,700"
"55,200"
"47,100"
"17,200"
"5,400"
"6,000"






























"-153,346"
"-101,926"
"-73,554"
"-71,040"
"-90,647"
"-106,913"
"-69,068"
"-57,493"
"-60,230"
"-42,075"
"-39,600"
"-41,743"
"-47,289"
"-51,407"
"-43,563"
"-45,005"
"-50,148"
"-48,755"
"-82,490"
"-68,500"
"-112,300"
"-88,400"
"-54,500"
"-39,300"
"-20,900"
"-13,000"
"-9,600"
"-4,200"
"-3,200"
"-1,100"
"-5,956"
"-652,643"
"-259,202"
"-60,056"
"-340,153"
"-394,623"
0
"-970,089"
"-41,015"
"-500,829"
"-53,358"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-2,916"
"-3,561"
"-155,098"
"-169,714"
"-238,902"
0
0
"-18,179"
"-127,385"
"-243,515"
"-387,202"
"-572,672"
"-451,720"
"-366,926"
"-372,984"
"-1,056,863"
"-326,599"
"-774,574"
"-1,939,860"
"-2,679,135"
"-27,600"
"-127,800"
"-55,500"
"-101,400"
"-29,500"
-
"-24,700"
"-21,200"
"-4,700"
"-2,000"
"6,361"
"12,943"
"296,472"
"158,135"
"109,173"
"7,774"
