Column 1
ttm
9/29/2018
9/29/2017
9/29/2016
9/29/2015
9/29/2014
9/29/2013
9/29/2012
9/29/2011
9/29/2010
9/29/2009
9/29/2008
9/29/2007
9/29/2006
9/29/2005
9/29/2004
9/29/2003
9/29/2002
"4,896,993"
"3,811,126"
"3,504,286"
"3,171,411"
"2,707,115"
"2,372,906"
"1,924,400"
"1,700,208"
"1,206,021"
"827,654"
"761,552"
"713,711"
"592,798"
"435,164"
"374,253"
"300,703"
"293,268"
"248,802"
"2,314,800"
"1,633,616"
"1,519,659"
"1,443,348"
"1,257,270"
"1,105,032"
"874,838"
"754,491"
"544,836"
"354,588"
"332,206"
"327,780"
"283,766"
"213,874"
"189,983"
"164,198"
-
-
"2,582,177"
"2,177,510"
"1,984,627"
"1,728,063"
"1,449,845"
"1,267,874"
"1,049,562"
"945,717"
"661,185"
"473,066"
"429,346"
"385,931"
"309,032"
"221,290"
"184,270"
"136,505"
-
-


















-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"619,400"
"450,095"
"415,575"
"382,858"
"321,624"
"276,446"
"254,468"
"201,709"
"133,711"
"94,918"
"80,018"
"74,650"
"62,890"
"48,309"
"38,943"
"31,201"
"25,372"
"23,962"
"723,047"
"522,549"
"504,801"
"460,303"
"375,843"
"340,054"
"300,107"
"245,942"
"174,050"
"109,997"
"93,946"
"86,652"
"75,194"
"103,123"
"46,690"
"41,526"
"25,372"
"23,962"
"1,859,130"
"1,654,961"
"1,479,826"
"1,267,760"
"1,074,002"
"927,820"
"749,455"
"699,775"
"487,135"
"363,069"
"335,400"
"299,279"
"233,838"
"118,167"
"137,580"
"94,979"
"267,896"
"224,840"
-
-
-
-
-
-
"30,281"
"211,906"
"185,256"
-
"84,398"
"92,677"
"91,767"
"76,732"
"80,266"
"74,675"
"42,457"
"36,538"
"-62,845"
"-7,600"
"-6,500"
"-26,000"
"-18,700"
"-4,600"
"-8,100"
700
"-72,454"
0
0
0
0
"-48,617"
0
0
0
0
"1,004,332"
"985,557"
"837,430"
"768,116"
"636,824"
"448,510"
"448,489"
"487,869"
"229,425"
"250,835"
"251,002"
"206,602"
"142,071"
"41,435"
"57,314"
"20,304"
"-120,399"
"47,433"
"230,754"
"24,021"
"208,889"
"181,702"
"189,612"
"141,600"
"145,700"
"162,900"
"77,200"
"87,390"
"88,100"
"73,476"
"53,426"
"16,318"
"22,627"
"6,682"
-
-
"773,578"
"961,536"
"628,541"
"586,414"
"447,212"
"306,910"
"302,789"
"324,969"
"152,225"
"163,445"
"162,902"
"133,126"
"88,645"
"25,117"
"34,687"
"13,622"
"-75,728"
"30,629"
"771,663"
"957,062"
"596,887"
"586,414"
"447,212"
"306,910"
"302,789"
"324,969"
"172,134"
"163,445"
"162,902"
"133,126"
"88,645"
"25,117"
"34,687"
"13,622"
"-75,728"
"30,629"
"747,354"
"900,914"
"437,630"
"583,414"
"443,847"
"180,284"
"131,546"
"321,670"
"172,134"
"133,132"
"162,902"
"133,126"
"88,645"
"25,117"
"34,687"
"13,622"
"-75,728"
"30,629"


















-
16.20
7.88
10.39
7.84
3.16
2.39
5.97
3.17
2.52
3.36
2.78
1.94
0.57
1.17
46.11
-10.92
231.44
-
16.20
7.88
10.39
7.84
3.16
2.39
5.97
3.17
2.52
3.23
2.65
1.83
0.53
1.11
44.01
-10.92
221.95


















-
"55,597"
"55,530"
"56,157"
"56,606"
"56,993"
"55,080"
"53,882"
"53,333"
"52,923"
"48,481"
"47,856"
"45,630"
"44,415"
"29,546"
295
"7,368"
120
-
"55,597"
"55,530"
"56,157"
"56,606"
"56,993"
"55,080"
"53,882"
"53,333"
"52,923"
"50,459"
"50,202"
"48,542"
"47,181"
"31,112"
310
"7,368"
138
-
"1,727,415"
"1,569,052"
"1,345,205"
"1,128,221"
"991,428"
"795,094"
"744,008"
"455,020"
"393,234"
"349,328"
"324,533"
"260,937"
"160,999"
"158,344"
"117,073"
"270,816"
"231,134"
