Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001



















"111,661"
"-46,302"
"-48,260"
"256,979"
"232,573"
"208,042"
"162,330"
"128,778"
"96,919"
"68,477"
"46,785"
"38,229"
"52,558"
"38,979"
"19,719"
"16,322"
"5,748"
"2,766"
"3,008"
"187,182"
"181,768"
"173,747"
"144,770"
"100,940"
"72,093"
"50,549"
"43,082"
"36,301"
"31,321"
"28,249"
"21,347"
"14,622"
"9,824"
"6,546"
"3,174"
"1,171"
-
-
"-4,752"
"-38,544"
"55,910"
"-43,004"
"-4,426"
"-17,584"
"-18,832"
"-12,973"
"3,620"
"-10,337"
"-5,212"
"-2,818"
"-4,909"
"-6,721"
-331
"-3,341"
"-1,918"
-
-
"47,386"
"41,783"
"39,932"
"46,149"
"60,376"
"50,812"
"43,184"
"19,845"
"18,063"
"16,227"
"12,910"
"8,466"
-
-
-
-
-
-
-
"267,567"
"696,097"
"-140,646"
"-184,802"
"-507,866"
"-137,680"
"-133,343"
"9,053"
"-145,984"
"-59,220"
"39,871"
"-9,893"
"-83,065"
"-37,471"
"-14,524"
"-30,207"
"-21,072"
-
-
"23,095"
"186,834"
"-79,106"
"-249,853"
"-191,876"
"-101,057"
"-35,960"
"-53,433"
"-33,923"
"-32,320"
"3,792"
"2,634"
-
-
-
-
-
-
-
"263,673"
"109,919"
"-222,391"
"-148,055"
"-278,524"
"-84,658"
"-156,900"
"4,699"
"-114,646"
"-65,239"
"32,998"
"-19,497"
"-83,966"
"-26,504"
"-5,669"
"-27,195"
"-10,679"
-
-
"-3,570"
"26,413"
"145,695"
"202,446"
"-22,583"
"49,137"
"14,642"
"35,370"
"17,209"
"16,158"
"-4,386"
"16,957"
-
-
-
-
-
-
-
"457,168"
"457,845"
"-47,276"
"-82,259"
"-343,032"
"78,505"
"32,240"
"149,111"
"-64,174"
"19,932"
"99,196"
"30,322"
"-48,712"
"-4,414"
"4,908"
"-17,575"
"-11,987"
-
-
254
254
254
"46,149"
"60,376"
"31,350"
"43,184"
"19,845"
"106,482"
"3,602"
"-3,599"
"14,170"
"8,733"
"5,814"
-
-
"6,369"
-
-
"611,881"
"628,230"
"234,063"
"304,487"
"-44,104"
"219,033"
"120,070"
"199,761"
"15,218"
"50,114"
"119,041"
"69,516"
"-14,628"
"10,701"
"15,795"
"-8,851"
"-9,702"
-
-



















"-154,713"
"-170,385"
"-281,339"
"-386,746"
"-298,928"
"-140,528"
"-87,830"
"-50,650"
"-79,392"
"-30,182"
"-19,845"
"-39,194"
"-34,084"
"-15,115"
"-10,887"
"-8,724"
"-2,285"
-
-
1
"-39,207"
0
0
"-539,460"
"-10,924"
"-148,097"
0
-
-
-
-
-
-
-
-
-
-
-
-
0
0
"-24,230"
"-103,144"
-
0
0
"-3,862"
"-11,125"
0
0
"-62,860"
"-89,650"
-
-
-
-
-
-
0
0
"30,712"
"96,610"
-
-
-
-
-
0
0
"62,860"
"89,650"
-
-
-
-
-
"-1,009"
"-4,597"
"-1,648"
-875
"-2,553"
-860
"-2,175"
"3,719"
"-6,182"
-478
-35
"-2,893"
0
0
0
0
0
-
-
"-155,721"
"-202,904"
"-282,987"
"-381,139"
"-847,475"
"-152,312"
"-238,102"
"-46,931"
"-89,436"
"-41,785"
"-19,880"
"-42,066"
"-34,084"
"-15,115"
"-10,833"
"-8,683"
"-2,285"
-
-



















"-277,817"
"-695,000"
"-665,000"
"-1,170,750"
"-265,202"
"-118,722"
"-5,471"
"-69,330"
"-37,418"
"-9,543"
"-33,017"
"-21,954"
-
-
-
-
"-6,529"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"3,182"
"3,544"
"124,490"
78
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-12,000"
-
-
-
-
-
0
0
"-2,927"
-
-
-
-
-
-
-
-
-
-
"-5,000"
-
"-3,640"
-
-
"-6,672"
"-2,448"
"-2,781"
"36,586"
"44,970"
"35,252"
"17,167"
"16,851"
"7,936"
"4,189"
"3,773"
"2,131"
"6,892"
"11,169"
"-11,656"
-33
"11,634"
-
-
"-221,851"
"-189,868"
"106,759"
"205,995"
"440,078"
"182,306"
"126,795"
"12,297"
"45,807"
"7,243"
"-16,467"
"35,381"
"18,148"
"12,579"
"56,989"
"18,004"
"11,860"
-
-
"251,065"
"247,925"
"62,013"
"120,618"
"-463,323"
"245,686"
"5,648"
"166,457"
"-28,486"
"16,573"
"85,255"
"61,454"
"-30,067"
"7,678"
"61,892"
418
-127
-
-
"176,540"
"318,135"
"250,470"
"129,852"
"593,175"
"347,489"
"341,841"
"175,384"
"203,870"
"187,297"
"102,042"
"40,588"
"70,655"
"62,977"
"1,085"
667
794
-
-
"410,849"
"566,060"
"312,483"
"250,470"
"129,852"
"593,175"
"347,489"
"341,841"
"175,384"
"203,870"
"187,297"
"102,042"
"40,588"
"70,655"
"62,977"
"1,085"
667
-
-



















