Column 1
ttm
1/31/2019
1/31/2018
1/31/2017
1/31/2016
1/31/2015
1/31/2014
1/31/2013
1/31/2012
1/31/2011
1/31/2010
1/31/2009
1/31/2008
1/31/2007
1/31/2006
1/31/2005
1/31/2004
1/31/2003


















"699,319"
"658,559"
"555,234"
"409,760"
"320,008"
"257,135"
"202,849"
"172,549"
"120,264"
"71,030"
"39,356"
"25,268"
"25,335"
"22,543"
"15,969"
"9,460"
"5,084"
"9,696"
"286,608"
"279,472"
"252,713"
"210,295"
"165,049"
"131,764"
"106,283"
"88,233"
"75,931"
"64,936"
"62,166"
"51,445"
"39,503"
"29,736"
"22,285"
-
"15,411"
"12,522"
"36,202"
"34,080"
"-27,095"
"26,971"
"5,809"
"9,246"
"3,868"
"8,673"
"10,827"
"7,741"
"3,143"
"22,583"
"-3,284"
"-3,080"
"-3,037"
-
-
-
"26,230"
"26,636"
"24,399"
"19,340"
"15,594"
"14,923"
"16,003"
"13,375"
"11,605"
"11,155"
"5,949"
"3,877"
-
-
-
-
-
-
"-190,634"
"-45,505"
"-34,569"
"-31,768"
"-124,779"
"-17,715"
"8,198"
"2,442"
"26,835"
"32,840"
"62,740"
"-26,463"
"-15,551"
"7,290"
899
-
-
-
-
-
"-11,088"
"-23,639"
"-12,552"
"-5,391"
"-5,534"
"-15,362"
"-3,861"
-
-
-
-
-
-
-
-
-
"-100,428"
"-122,019"
"-152,449"
"-182,182"
"-180,564"
"-123,296"
"-96,808"
"-116,478"
"-26,131"
"-11,568"
"6,654"
"-37,493"
"-46,872"
"-19,863"
"-5,134"
-
-
-
"40,266"
"78,256"
"66,240"
"63,344"
"5,396"
"42,496"
"29,396"
"32,444"
-651
"30,706"
"8,576"
"-4,311"
-
-
-
-
-
-
"686,538"
"636,727"
"337,486"
"260,938"
"76,707"
"147,525"
"101,701"
"50,423"
"92,251"
"79,428"
"104,722"
"-35,660"
"-54,960"
"-6,701"
"-4,006"
-
-
-
-
-
"24,399"
"10,287"
"6,097"
"11,694"
"2,625"
"-33,970"
"-14,294"
515
"5,473"
"2,103"
708
"-4,377"
255
-
-
-
"1,015,460"
"956,127"
"778,200"
"634,685"
"375,874"
"396,592"
"327,725"
"239,001"
"220,887"
"176,543"
"172,827"
"75,203"
"46,906"
"55,630"
"37,601"
-
-
-


















"-328,922"
"-319,400"
"-440,714"
"-373,747"
"-299,167"
"-249,067"
"-226,024"
"-188,578"
"-128,636"
"-97,115"
"-68,105"
"-110,863"
"-101,866"
"-62,331"
"-41,607"
-
"-30,354"
"-27,430"
-
"-13,606"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"-73,030"
"-386,193"
"-330,000"
"-90,000"
"-130,000"
"-200,209"
-
-
-
-
-
-
-
-
-
-
-
-
"72,030"
"506,193"
"240,000"
"190,000"
"150,209"
"50,000"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
0
0
0
0
0
0
0
0
0
"4,467"
"-2,414"
0
-
-
-
"-378,968"
"-215,107"
"-530,714"
"-273,747"
"-278,958"
"-399,276"
"-226,024"
"-188,578"
"-128,636"
"-97,115"
"-68,105"
"-110,863"
"-97,399"
"-64,745"
"-41,607"
-
-
-


















-
-
-
-
-
-
-
-
0
0
"-1,267,720"
"-1,186,692"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"17,100"
"1,228"
"2,517"
"124,783"
"1,422"
630
-
-
-
"-743,809"
"-622,335"
"-371,824"
"-347,114"
"-169,368"
"-41,511"
"-37,968"
-79
"-3,236"
-
0
-59
"-6,742"
"-2,217"
-
-
-
-
-
-
-
-
-
0
0
"-62,482"
-
-
0
-
"-93,012"
-
-
-
-
-
-
-
583
"9,053"
"9,497"
"3,229"
"13,378"
"47,345"
"25,899"
"10,640"
476
"1,774"
"1,575"
"5,360"
213
-
-
-
"-696,201"
"-609,214"
"-355,051"
"-321,768"
"-140,225"
"-27,643"
"-2,700"
"16,314"
"50,302"
"27,740"
"-104,343"
"35,509"
"50,637"
"9,921"
"3,841"
-
-
-
"-59,709"
"131,806"
"-107,565"
"39,170"
"-43,309"
"-30,327"
"99,001"
"66,737"
"142,553"
"107,168"
379
-151
144
806
-165
-
-
-
"237,107"
"277,445"
"385,010"
"345,840"
"389,149"
"419,476"
"320,475"
"253,738"
"111,185"
"4,017"
"3,638"
"3,789"
"3,645"
"2,839"
"3,004"
-
-
-
"177,398"
"409,251"
"277,445"
"385,010"
"345,840"
"389,149"
"419,476"
"320,475"
"253,738"
"111,185"
"4,017"
"3,638"
"3,789"
"3,645"
"2,839"
-
-
-


















"1,015,460"
"956,127"
"778,200"
"634,685"
"375,874"
"396,592"
"327,725"
"239,001"
"220,887"
"176,543"
"172,827"
"75,203"
"46,906"
"55,630"
"37,601"
-
-
-
"-328,922"
"-319,400"
"-440,714"
"-373,747"
"-299,167"
"-249,067"
"-226,024"
"-188,578"
"-128,636"
"-97,115"
"-68,105"
"-110,863"
"-101,866"
"-62,331"
"-41,607"
-
"-30,354"
"-27,430"
"686,538"
"636,727"
"337,486"
"260,938"
"76,707"
"147,525"
"101,701"
"50,423"
"92,251"
"79,428"
"104,722"
"-35,660"
"-54,960"
"-6,701"
"-4,006"
-
-
-
