Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000
12/31/1999
12/31/1998
12/31/1997
12/31/1996
12/31/1995
12/31/1994
12/31/1993
"6,949,476"
"4,363,547"
"3,881,756"
"2,931,188"
"3,307,998"
"3,044,454"
"2,566,392"
"2,391,122"
"1,967,637"
"1,507,012"
"1,401,616"
"1,574,749"
"1,360,088"
"1,087,620"
"1,034,024"
"822,018"
"717,924"
"696,195"
"783,698"
"1,027,976"
"1,121,068"
"670,900"
"564,400"
"453,500"
"425,000"
"347,500"
"285,300"
"5,049,351"
"3,129,662"
"2,816,443"
"2,006,949"
"2,260,182"
"2,108,472"
"1,802,365"
"1,696,555"
"1,397,213"
"1,057,934"
"1,008,290"
"1,147,563"
"990,469"
"790,843"
"774,378"
"616,854"
"528,474"
"516,724"
"573,772"
"723,157"
"762,283"
"434,500"
"361,900"
"285,900"
"260,500"
"213,400"
"180,100"
"1,900,125"
"1,233,885"
"1,065,313"
"924,239"
"1,047,816"
"935,982"
"764,027"
"694,567"
"570,424"
"449,078"
"393,326"
"427,186"
"369,619"
"296,777"
"259,646"
"205,164"
"189,450"
"179,471"
"209,926"
"304,819"
"358,785"
"236,400"
"202,500"
"167,600"
"164,500"
"134,100"
"105,200"



























"176,181"
"87,450"
"95,166"
"71,375"
"71,213"
"61,886"
"46,289"
"41,307"
"37,193"
"40,203"
"42,447"
"38,981"
"37,434"
"32,701"
-
-
-
-
-
-
-
-
-
"18,200"
"14,600"
-
-
"1,010,947"
"633,244"
"511,898"
"371,805"
"347,373"
"324,539"
"262,718"
"245,709"
"247,534"
"195,892"
"160,998"
"170,597"
"148,437"
"130,294"
"154,458"
"146,416"
"133,432"
"126,615"
"129,879"
"146,535"
"156,514"
"106,400"
"87,800"
"48,000"
"35,800"
"28,800"
"27,100"
"1,369,669"
"760,448"
"643,580"
"465,878"
"440,249"
"408,873"
