Column 1
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000

























































"3,653,900"
"4,198,600"
"3,961,400"
"2,407,000"
"1,313,500"
"1,482,500"
"1,100,495"
"1,325,098"
"1,359,548"
"1,158,131"
"1,181,922"
"1,008,409"
"964,542"
"421,766"
"397,627"
"237,321"
"146,784"
"129,791"
"107,730"
"830,100"
"469,500"
"124,200"
"204,400"
"172,800"
"314,700"
"220,344"
"198,569"
"108,788"
"62,722"
"70,112"
"253,881"
"179,804"
"94,160"
"75,515"
"33,778"
-
-
-
"4,484,000"
"4,668,100"
"4,085,600"
"2,611,400"
"1,486,300"
"1,797,200"
"1,320,839"
"1,523,667"
"1,468,336"
"1,220,853"
"1,252,034"
"1,262,290"
"1,144,346"
"515,926"
"473,142"
"271,099"
"146,784"
"129,791"
"107,730"
"1,871,300"
"815,900"
"809,200"
"1,434,000"
"1,749,400"
"749,700"
"640,772"
"380,254"
"160,978"
-
"302,892"
"309,977"
-
"47,567"
"52,170"
"12,792"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
0
0
0
0
0
0
0
0
0
0
"-53,382"
"11,353"
0
"-21,392"
"69,010"
-
-
"6,832,400"
"5,819,200"
"5,119,600"
"4,268,500"
"3,526,300"
"2,692,700"
"2,100,710"
"2,119,894"
"1,815,171"
"1,717,465"
"1,704,570"
"1,690,942"
"1,338,414"
"605,457"
"548,408"
"299,590"
"250,374"
-
-






































"989,700"
"730,600"
"598,600"
"491,900"
"378,700"
"292,900"
"240,306"
"189,686"
"163,469"
"133,922"
"119,438"
-
"62,005"
"37,057"
"12,587"
"4,717"
"4,207"
-
-
"-561,500"
"-411,100"
"-324,100"
"-247,100"
"-191,600"
"-145,500"
"-108,788"
"-91,448"
"-86,644"
"-72,137"
"-52,850"
-
-
-
-
-
-
-
-
"428,200"
"319,500"
"274,500"
"244,800"
"187,100"
"147,400"
"131,518"
"98,238"
"76,825"
"61,785"
"66,588"
"66,560"
"62,005"
"37,057"
"12,587"
"4,717"
"4,207"
-
-
"813,200"
"977,200"
"291,600"
"327,800"
"407,600"
"162,900"
"164,064"
"143,682"
"62,931"
"182,260"
"54,972"
-
-
-
-
-
-
-
-
"2,227,700"
"660,700"
"392,500"
"263,200"
"263,200"
"236,800"
"223,839"
"111,131"
"111,131"
"111,131"
"111,131"
"189,470"
"189,470"
"185,779"
"180,848"
"158,725"
"117,095"
-
-
"996,200"
"367,900"
"74,100"
"80,000"
"101,000"
"66,500"
"53,028"
"9,896"
"11,428"
"12,961"
"14,493"
"16,286"
"18,855"
"21,668"
"25,441"
"12,403"
"16,940"
-
-
"467,000"
"220,100"
500
"9,300"
"9,800"
"226,900"
"2,357"
"5,270"
"111,467"
"14,100"
"228,444"
"119,473"
"55,221"
"37,528"
"31,752"
"21,672"
"20,888"
-
-
"4,932,300"
"2,545,400"
"1,033,200"
"925,100"
"968,700"
"758,000"
"574,806"
"368,217"
"432,122"
"400,982"
"498,891"
"391,789"
"325,551"
"282,032"
"250,628"
"197,517"
"159,130"
-
-
"11,764,700"
"8,364,600"
"6,152,800"
"5,193,600"
"4,495,000"
"3,450,700"
"2,675,516"
"2,488,111"
"2,247,293"
"2,118,447"
"2,203,461"
"2,082,731"
"1,663,965"
"887,489"
"799,036"
"497,107"
"409,504"
"221,456"
"173,007"

























































-
-
0
"300,000"
-
0
"15,000"
"11,250"
-
0
"152,741"
"154,581"
"1,600"
"1,600"
"1,600"
"48,170"
"71,460"
-
-
"4,555,300"
"4,010,300"
"2,746,400"
"1,941,200"
"1,502,700"
"975,700"
"751,576"
"3,294"
"8,284"
"5,270"
"5,138"
"7,979"
"8,015"
"299,491"
"226,115"
"176,345"
"143,351"
-
-
-
-
"2,900"
0
"1,900"
-
-
-
0
-
-
-
-
-
0
143
"9,255"
-
-
-
-
-
-
"294,700"
"187,700"
"221,055"
"215,817"
"320,439"
"219,691"
"338,340"
"324,116"
"172,043"
85
-
"1,782"
-
-
-
"1,400"
"65,900"
"3,300"
"27,700"
"86,900"
200
146
164
-
"90,496"
"81,197"
-
-
-
"63,449"
-
-
-
-
-
0
0
0
"35,200"
0
0
164
"67,383"
871
674
"52,176"
"159,072"
"37,606"
0
"76,248"
"23,664"
-
-
"5,015,600"
"4,443,200"
"3,055,800"
"2,441,600"
"1,935,700"
"1,237,100"
"1,113,426"
"1,123,140"
"1,185,701"
"1,180,070"
"1,364,556"
"1,201,996"
"904,107"
"340,042"
"291,164"
"303,940"
"247,730"
-
-



















"2,126,400"
"1,182,400"
"997,600"
"912,100"
"900,000"
"600,000"
"120,000"
"236,705"
-
"40,205"
-
0
"154,021"
"155,461"
"181,901"
"87,585"
"84,835"
-
-
"134,200"
"93,400"
"63,400"
"87,400"
"48,400"
"55,400"
"42,058"
"1,026"
-
-
-
0
"34,666"
"16,577"
"14,818"
"3,971"
520
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"34,900"
"13,700"
"35,900"
"24,200"
"15,000"
"6,200"
"8,697"
"10,394"
"13,410"
"17,272"
-
"72,844"
"8,116"
"5,200"
"1,173"
252
250
-
-
"2,509,100"
"1,504,700"
"1,096,900"
"1,023,700"
"963,400"
"695,700"
"238,926"
"248,125"
"229,546"
"57,477"
"33,076"
"72,844"
"196,803"
"177,323"
"199,241"
"93,590"
"86,857"
-
-
"7,524,700"
"5,947,900"
"4,152,700"
"3,465,300"
"2,899,100"
"1,932,800"
"1,352,352"
"1,371,265"
"1,415,247"
"1,237,547"
"1,397,632"
"1,274,840"
"1,100,910"
"517,365"
"490,405"
"397,530"
"334,587"
"199,411"
-



















500
400
400
400
400
400
432
429
425
424
423
419
409
394
386
0
0
-
-
"2,267,300"
"1,827,500"
"1,453,800"
"1,211,700"
"1,093,100"
"1,029,400"
"854,086"
"669,358"
"405,112"
"458,512"
"418,641"
"455,474"
"268,559"
"129,372"
"77,444"
"28,194"
"4,657"
-
-
"-8,900"
"-2,700"
"-1,000"
"-2,200"
-600
"-1,300"
-788
"-1,761"
"-2,309"
"-3,119"
"-3,761"
-32
-356
21
-3
1
33
-
-
"4,240,000"
"2,416,700"
"2,000,100"
"1,728,300"
"1,595,900"
"1,517,900"
"1,323,164"
"1,116,846"
"832,046"
"880,900"
"805,829"
"807,891"
"563,055"
"370,124"
"308,631"
"99,577"
"74,917"
"22,045"
"-7,179"
"11,764,700"
"8,364,600"
"6,152,800"
"5,193,600"
"4,495,000"
"3,450,700"
"2,675,516"
"2,488,111"
"2,247,293"
"2,118,447"
"2,203,461"
"2,082,731"
"1,663,965"
"887,489"
"799,036"
"497,107"
"409,504"
"221,456"
"173,007"
