Column 1
ttm
12/31/2018
12/31/2017
12/31/2016
12/31/2015
12/31/2014
12/31/2013
12/31/2012
12/31/2011
12/31/2010
12/31/2009
12/31/2008
12/31/2007
12/31/2006
12/31/2005
12/31/2004
12/31/2003
12/31/2002
12/31/2001
12/31/2000




















"660,793"
"572,430"
"747,181"
"241,975"
"195,290"
"731,554"
"728,652"
"502,036"
"613,371"
"160,127"
"20,654"
"210,206"
"258,148"
"628,728"
"-90,836"
"-205,586"
"-48,892"
"-31,713"
"-17,726"
"-10,616"
"588,735"
"550,596"
"552,368"
"404,730"
"322,629"
"314,119"
"371,051"
"373,199"
"398,039"
"405,558"
"410,547"
"262,848"
"239,241"
"198,883"
"122,065"
"70,980"
"21,941"
"9,246"
-
-
"-358,300"
"-498,654"
"-310,854"
"6,356"
"6,498"
"-8,086"
"-19,826"
"-3,655"
"-10,822"
"18,875"
-656
"-62,822"
"68,152"
"170,321"
-
-
-
-
-
-
"36,722"
"35,040"
"43,971"
"43,722"
"38,475"
"39,196"
"39,537"
"19,648"
"23,881"
"27,168"
"24,336"
"20,328"
-
-
-
-
-
-
-
-
"7,792"
"-107,237"
"523,416"
"204,288"
"-196,963"
"-265,105"
"227,453"
"-29,956"
"147,287"
"172,674"
"113,088"
"-21,259"
"-28,501"
"70,099"
"-3,774"
"16,093"
"8,310"
"11,035"
-
-
-
"-59,157"
829
"-39,272"
"47,011"
38
"-14,875"
"-21,019"
-
-
-
-
-
-
-
-
-
-
-
-
"-23,737"
"-5,212"
"-4,372"
"-36,642"
"-23,613"
"-6,917"
"-17,749"
"3,644"
"11,168"
"22,169"
"3,265"
"-49,417"
"-7,565"
"-21,261"
"-58,934"
"-2,175"
-183
-918
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
"13,407"
"-640,897"
"927,532"
"-270,382"
"-1,352,339"
"-247,623"
"1,169,856"
"944,733"
"1,331,689"
"773,484"
"53,027"
"-853,588"
"-391,414"
"-462,050"
"-828,599"
"-1,122,758"
"-436,763"
"-76,603"
-
-
"81,595"
"163,222"
"128,717"
"1,953"
"-22,592"
"47,115"
"28,403"
"60,679"
"90,072"
"10,270"
"28,458"
"32,584"
"60,794"
"74,251"
-
-
-
-
-
-
"1,243,485"
"961,489"
"1,876,577"
"970,546"
"572,813"
"1,098,317"
"1,676,642"
"1,185,718"
"1,515,835"
"1,057,312"
"593,956"
"523,183"
"659,172"
"240,766"
"48,475"
"-114,765"
"-21,774"
"-10,348"
-
-




















"-1,230,078"
"-1,602,386"
"-949,045"
"-1,240,928"
"-1,925,152"
"-1,345,940"
"-506,786"
"-240,985"
"-184,146"
"-283,828"
"-540,929"
"-1,376,771"
"-1,050,586"
"-702,816"
"-877,074"
"-1,007,993"
"-414,989"
"-66,255"
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
0
"-34,098"
"-229,328"
"-196,750"
"-253,284"
"-200,258"
"-222,856"
"-282,608"
"-316,533"
-
-
-
-
-
-
-
-
-
-
-
0
"359,461"
"200,366"
"144,829"
"247,723"
"200,090"
"146,112"
"216,051"
"101,017"
-
-
-
-
-
"499,765"
-
-
-
-
-
"52,418"
"54,213"
"20,374"
"3,872"
"37,254"
"231,756"
"-94,050"
"-320,650"
"-60,135"
"-13,034"
"-11,258"
"31,052"
"-293,734"
"205,216"
"-43,920"
"-572,365"
"382,481"
"-795,926"
-
-
"-1,177,660"
"-1,222,810"
"-957,633"
"-1,288,250"
"-1,891,558"
"-1,114,352"
"-677,580"
"-344,854"
"-459,100"
"-296,123"
"-551,080"
"-1,338,999"
"-1,322,739"
"401,809"
"-421,120"
"-1,547,090"
"-32,502"
"-854,174"
-
-




















"-2,445,144"
"-3,032,267"
"-2,959,843"
"-400,707"
"-3,342,106"
"-199,739"
"-501,400"
"-1,022,847"
"-201,901"
"-2,551,561"
"-1,855,153"
"-606,011"
-
-
-
-
-
-
-
-
53
"915,240"
-
-
-
-
-
-
0
0
"2,071,798"
"344,250"
"673,305"
"21,790"
"1,404"
